address, balance, GLTO
juno1typ45xcrpnlt2j5rzc8pmhfp4u6pglm0744fvj, 1.000000, 10946.91647
juno1cegn6yls7hxmln0whel37v4vlau5jz72jhr2mn, 1.016145, 10946.91647
juno1pluvppw3973qkk5rt8w0mmdsqx03hy6xpw9j64, 5.700000, 10946.91647
juno1u7qw4q44un3cuy2pxm9hw088fp580fzavxwsx0, 2.800000, 10946.91647
juno12eedqrmxxsx4s26yzeqs36se5dwwg2tcgx0qkg, 1.000000, 10946.91647
juno1s85kaf9ptdlxt92c604ehkkyt2fx0xlwwp67fl, 11.000000, 10946.91647
juno1jxjzdt7dp90ajwt2j3dv43v0pnm8gcxtw6ms6y, 1.200000, 10946.91647
juno1wdcluawcq62g7m6332ykyr6vpqajlq3da95vqj, 11.000000, 10946.91647
juno1udz95dyzm9crjsyrm6ezm3gca44l8wk3rndnz3, 1.200000, 10946.91647
juno1t8tkacesxw6n7g9sq8y9yra95wzpt4d2a8dl7k, 15.111591, 10946.91647
juno1h4t209tuy4remh6f234uyd4syvpqykah4tzrww, 10.130643, 10946.91647
juno12wdcv2lm6uhyh5f6ytjvh2nlkukrmkdkzymxdv, 1.006875, 10946.91647
juno1hjvspta7ua500zgjhpsw5szl00tplqqzvrjln5, 11.467021, 10946.91647
juno1y4mkrf0rrg5hd9ezcjh95kcucncrdvmc5l29s6, 1.000000, 10946.91647
juno1zna469d7et2628p9zeaju7zqeham0tcgq735am, 10.200928, 10946.91647
juno16jy8f7wdzn974ceqtpnxk4a35n6v9a3ac6l0xq, 1.200000, 10946.91647
juno1vaxze779tvr3wppe5pdg288rc373afnx6njyru, 1.200000, 10946.91647
juno1d209dgqxcl0vsr4fcc5gk5zn6r5tempwjynxru, 1.023479, 10946.91647
juno1zp5s60cmgfemy0s2kgfgmxkkldcu5x6tmfkuz7, 1.000000, 10946.91647
juno1qpktdl30qqcr5n9wkgkh8py8a25hfzk3u4nrxy, 0.970770, 10946.91647
juno154vkh66rry96ntz6506mknys3hypcu4gu8gcdz, 11.000000, 10946.91647
juno1jgagd8qqsla7nd4kparf9p5cetgj5ucwwfagl5, 10.200000, 10946.91647
juno1rsntu55zwhlhcfghh2wtzsxkr67qszupsl88f9, 0.549034, 10946.91647
juno144yjwr38rl5zn4hntwad0su3rk9scpz0kath3d, 16.000000, 10946.91647
juno1ugde2zyg7eusa8xzz94l43r8afhykhlz9ue7sm, 8.000000, 10946.91647
juno18tgy7tmpng6qspxgwl4alvc0myq6ln7uekxh78, 1.062893, 10946.91647
juno12suzkzf5ydqgv25ztc05c3rvpfa99w68ucjt2k, 1.000000, 10946.91647
juno17xny7d553qc4ffyjuczcqgra5xfys8gyykrzqj, 10.000000, 10946.91647
juno1nvn4sfc3r2d69c7v0j9v7ak87xepz9q5m52hep, 7.000000, 10946.91647
juno1wgr5ny2szte90zmnhxhkxpc5szf4t2dygy6z4n, 0.554706, 10946.91647
juno1wv8s3cflrukukpe8wt0t246ewamshqlnpw2pfa, 1.218088, 10946.91647
juno1tcezdrc87ye9st75d73nm7psxpd6mx9aagacga, 2.023338, 10946.91647
juno1wmpy4ywtyvczxygpy66ug8s0sg0hfux4f9f9c9, 4.000000, 10946.91647
juno1gg7z4cvgghdl30nhjhp388jvfp68rxlmeqqpsj, 1.200000, 10946.91647
juno1ztz8t88xgqvueap24ufpfun5mxc3jhmcxnphn3, 6.015000, 10946.91647
juno1q7x20spkx6c5qpyqw63j50m255m5qtklyagje5, 1.000000, 10946.91647
juno1mprsrap80qlhl98sdlwhxytp3dlkr7tnme0ju6, 1.200000, 10946.91647
juno1uxfmrc4arhef2am55lxjqcr38sye2tf9q7lwaw, 5.664126, 10946.91647
juno1dsrt9h4wjqwuv9wc02jn05qmr60thap8pvct27, 4.000000, 10946.91647
juno1excz9t598xyh57a5xlc2rh5apjfspwcvcqedem, 0.600000, 10946.91647
juno10vtg6h9wrekrjrexllj4k4murs8dss6cjqjstf, 3.508128, 10946.91647
juno1p7jzm8yxfykhly390wnemscaygt026cmuta6qq, 0.503041, 10946.91647
juno1venhjj24eetgztgxvj9fzlqjcu2cz0m8huzsen, 11.000000, 10946.91647
juno1lnd8et43jq6yrezh6nge4xq5qq787a630zt6cj, 1.025128, 10946.91647
juno1zsq8w5fwsn0l5azk6xaglxsphfrpayjtzgtdcx, 1.005859, 10946.91647
juno1zw459net427ct25wc8axux8fduu2hjfz57wskv, 1.042960, 10946.91647
juno1dfkdl7a5ndx62sw7xv22c9340pywvxw4a9ca2n, 0.863274, 10946.91647
juno1hcux4h7unl074qf94u52llhd5m73ld9gqnq8m9, 3.482096, 10946.91647
juno1em889qakq9lhs8qqcrqyy3p2jhx408zmhuxvvm, 1.200000, 10946.91647
juno1j3gwakl57h64nxryvxgttjv7k7apaumm0yuuqy, 1.029591, 10946.91647
juno1w046x8pwv38h8ry0v05xx2guz2nesaastu74v0, 11.000000, 10946.91647
juno16r8masj94zav9fhwg00z9vkx2rpvd9d4dtawxg, 11.004864, 10946.91647
juno1u93z584nyvufs647ut6re6dy4z9q3kr97kyysl, 10.646474, 10946.91647
juno1kx7thfrckzptqvqw63wu2tnqvvw8tn7vq667wp, 1.200000, 10946.91647
juno1c5snx2vy7r8j8jk4tn7r6uwlzkw00pr9ualzle, 5.039909, 10946.91647
juno1znhk9mz6jlrsec7kzvzzaeytq9pa7ekqknfw3z, 0.968562, 10946.91647
juno1jz0g3gh3w8jf05cqfy3ksgj6yr646qwkrtsh0p, 1.000000, 10946.91647
juno1d3z75044sme90rmh9w9z44cmpdx6z8hwrlaq20, 1.000000, 10946.91647
juno10j7kd2lydhdnwwk83p4c9sv3xj6uscmxnvnem8, 2.169484, 10946.91647
juno1py9s288dpjmp4r9p735k6ean3qv7tk58t5mam7, 1.019474, 10946.91647
juno1nfl4mkc0xglpxmsnzu35cd6x3ptnkkc7r7kgs6, 6.997692, 10946.91647
juno1ykazj74lxsvsclswgss7p0a07ksvauqspte5ya, 0.802358, 10946.91647
juno1gga5aduajuzzxzy83xmle8wrp3dh8q6lnmlxu8, 1.048236, 10946.91647
juno1xq93sruc4mttpvzzjn3ca2kv4gs62sqa0ukt2w, 3.000000, 10946.91647
juno1w8800khamp94n7htclskt0hdlxe9rn8c47wp7p, 5.001692, 10946.91647
juno1ahsgwdj3g8ca6dn7kwhtu029spg9jgx8eee9t7, 3.000000, 10946.91647
juno1242l37paupq0fxcqd8cvnth5x6s6gcczsju9ck, 1.049027, 10946.91647
juno1dp3qeqpvgfkh7c07vn64m0kj7pps64ztn2wr4x, 16.200000, 10946.91647
juno1wdmgqu79rlmxvxhj2pt46p4ufv9jrck8ck7cfk, 4.562706, 10946.91647
juno1p59zkw2sphq78rkw43l7pn3yv5egv9q9tzedqj, 18.010236, 10946.91647
juno15p4t4hwd24n4y879ateh87rz0r6fz8370l2qan, 6.919471, 10946.91647
juno16w4umjnrm8924jx33cxl7820dnzdwfhgg2zkvz, 1.009501, 10946.91647
juno19t8cn7f96pj97myxe0w4l49refu4s50c2fdyfa, 47.749110, 10946.91647
juno1vpzlwskzcvy60lasrwa5xepztfp95vsdcmceqv, 2.293045, 10946.91647
juno13stj4dcva0efyew5a9dk2ehp0zqwyv2jd32fsr, 1.314019, 10946.91647
juno19mk0aw0f3k2vctwl9r970yq6j3f9vg600urn3e, 1.000000, 10946.91647
