address, amount staked, GLTO
secret189g9y224kvx92kvnemdjmwcc860rlxaevmzfd9, 363, 2150.327131
secret1l7v4gwqag6f20x0e5umpg025q0jryg0ls7aqjm, 281, 2150.327131
secret1q0jm5ulmp569qk247nvp26a20hyve9gkkmkzn3, 1459, 2150.327131
secret1hgrg0nua98x8sslsyvq9xrcmahrqnhwx4znexl, 1370, 2150.327131
secret1yayp54f3sdz3u6vawm8ycyagx2j2uc3lq95u0w, 400, 2150.327131
secret15fsdsv6xg0cyc0xvw48zmra4r08ekp7fd69ddn, 7500, 2150.327131
secret1r2vt8j5r94dhrvc5w992gfkdngjdmhvl7weg7l, 99000, 2150.327131
secret13u4fx2y3qusgxw0t3sfd2vf5srjntlwumdesd2, 399, 2150.327131
secret12e3rrtumdavmdaqg2wfhy9hht0v5l09dvzsq2c, 105, 2150.327131
secret1slzn32zcz9vla87rfsyaxlsym627ae2fvwfeu0, 130, 2150.327131
secret10k78lmlnlzxrg6kmmk2cnej2dwqker6nqejdml, 440, 2150.327131
secret1qclnam8sd9py4e73k46g2mmx3t9twxnv3sfdd8, 102, 2150.327131
secret1fs8f86ltmr06tgjxm9clz0gj7mkcxuqch26w07, 260, 2150.327131
secret1zds4m8pqd2d7na2zz8652cuvapvkaslvshg6k3, 107, 2150.327131
secret10y8hpjeyxnd9dfpaj36phflhtpqts2vtadq4xv, 441, 2150.327131
secret1kp2kryz4ln7dcy5vwzngeqys0czuwu6ezg93y0, 248, 2150.327131
secret10mv8ej8r8ql7zepl2aqtcj2kra8xty9qavqnf5, 2631, 2150.327131
secret14x8ltqgs80jec5glqty2dpk40qtheq8ka5lm6u, 580, 2150.327131
secret1v6689fk7tckkpfunz3nx90680p6hsqqq5lmdst, 149, 2150.327131
secret14tqkpez8ucxmdzujxgjajyfmd7kj0p79v42036, 266, 2150.327131
secret1au596ywfjpgkykjpdldstvptt2cdjtgsdjvpvd, 101, 2150.327131
secret1wnm8qe96znccn300mzme3k872a43xawkh0ghul, 180, 2150.327131
secret1w0c2h438yl2xsgcuw6m7xu353hvezn4yjltss7, 23000, 2150.327131
secret1zm3thnseqznvdv5nrdfrqvv748jdpdu0cu49zk, 384, 2150.327131
secret1j0dfz7dn92jd5rptnstpxanz92uw96gfk5duqe, 104, 2150.327131
secret1q0sgcdap9vgs0t64rsxa6hkr0s57y3muqcnt7w, 510, 2150.327131
secret1wt0xss26y3xrl5mu8dqejw47nzdhqkhl8g6xz8, 101, 2150.327131
secret13gndr2c62cdwsfsn9u4uxv00nwvgsl5250l6df, 279, 2150.327131
secret1r485dhw6pftr79cd6mv9vu5egn6q8xg3ey59sv, 3995, 2150.327131
secret1tjtae0ky9epdekqqtwjwl7myr7hfdx2y7pp5sd, 136, 2150.327131
secret1gfrqkety49gvxc4ujxafxpw2mtf5v28s7pxcje, 394, 2150.327131
secret1jcstvqq43p92rtd9rg9xjysc06z0rssl9m94nc, 1061, 2150.327131
secret13t9xd6rantmzvpn9r77n36sj4xy5e9ukkfwz8n, 102, 2150.327131
secret17lylzwkdgm97g0tpsmarxp5w4tghrulths50sa, 102, 2150.327131
secret1pwhryd2y2e4csll96vdpx6eyxc0ntef84sx239, 104, 2150.327131
secret14sxyxex66kmqjyyyrdwq8eker6h4ajamug5qfh, 189, 2150.327131
secret19an27c332nn8q9kc2d2k4xs7896a2znxckfcm6, 156, 2150.327131
secret14fy7x853tu9tnpzj2u3dh0phzqafls8vg9nfnp, 217, 2150.327131
secret1huur2we3qvn7xecyn7egp4du0dhjnnkm8eew9g, 157, 2150.327131
secret1e6xgx9nuteejc2tzq3xh7ve8tyadhr6jfkzg2d, 250, 2150.327131
secret1xem3v4e4wsvr5ntg3jf8glt3a9xgfw04qfurhm, 200, 2150.327131
secret13g0p2g57ulmnum0le88wyhv7328kuxz82mkvh9, 301, 2150.327131
secret1ugxjkza6g4mv7pu8n0njrm25rmsq42txu0cj0x, 125, 2150.327131
secret19cah76jyy46u4wnxlhr6vd8kgktxdgtvlw3eal, 66742, 2150.327131
secret197pkl37s44aazz53y3x6e7r3h93xrdejrpusuh, 166, 2150.327131
secret1k2w7a4ezugefk70ahkx44skex6n7udpk94fvlg, 101, 2150.327131
secret1p5s656vfdqsgx0fqye3exvclt0ygf9m4uwxmjf, 100, 2150.327131
secret1kkmuh829hzdgdt895afyx23qewkv7fqcck5lh5, 164, 2150.327131
secret1fg033e7j3a5q7dzwmhx4qd3z8ln65zyc33xvqs, 429, 2150.327131
secret1rymyp4ul6y3r2ey0wh6kutmv8n43sr4n5whv8l, 4400, 2150.327131
secret1vundl8cu5xnhq6t239zur55z70gg6tk0qzcqvg, 2999, 2150.327131
secret18c03y9fwukm8mapzzq9q5536lczxtzqu8nejx8, 860, 2150.327131
secret1mqc9h38chdcxdwtj34qrrspk6qjdmap78khsfj, 120, 2150.327131
secret1qdhe5w7yze5np4zw4jnpu7s3lh5gjmtmy23fuv, 5500, 2150.327131
secret16nxxzqj3y05dhgzgvhl2vapca0tqd5hkn504ez, 130, 2150.327131
secret1xjr5t64mndv4vthpy0fwp7hqyw82c9ut3havmz, 276, 2150.327131
secret1knuvhe4r8522cxkc0y2t5nf4qsjwmx7684ttks, 178, 2150.327131
secret1mmgqf3em0sncfga9gm02wwglygfnuc9sscw824, 274, 2150.327131
secret16n55937vaqjdyhqwxnchfhpunt8wav4um0gnld, 698, 2150.327131
secret12g9xj8x0e6wzgp3x7utalhf2frdj88gw6ay8vq, 130, 2150.327131
secret1tksa74m3xg2yctvrqkjrlsrehjudqgth3fvz5h, 140, 2150.327131
secret14u5edm9vz03ad9gr4npwcdu6j558pyuhh9x87v, 119, 2150.327131
secret1l8tyl9x0npk3cc7etpjws0k7lwmn9n9qc27p47, 4700, 2150.327131
secret1wq87fxxdvyndtlrmujr6ywld65jaqd6qmn4hmv, 2139, 2150.327131
secret1u4rr450qhh0f2n0ydnj8ts882z0n2hrw8phyw7, 1598, 2150.327131
secret19jsj6ery6hd5ujyd428uyv7mhr90mwumay5z3n, 380, 2150.327131
secret1vm5cne9usjnje3hkcu75gm8qsjg98afe22k9px, 107, 2150.327131
secret1u7zh3qy0h64ccldz7mazz3049qrlgv97f4tdy3, 232, 2150.327131
secret1qr6gggq8953qetshu7l03m85cmdlet8lgcuk9h, 1122, 2150.327131
secret18ma4lh6uhtqu4wcsqlyx8vqwr2yk69wsqqjrzt, 203, 2150.327131
secret1yvstfw8pye6qpypj74rwyl8p3q86a895224sje, 49550, 2150.327131
secret1ry3wl29xlvmct50rjzl2emnv8g0af7k6daxp47, 688, 2150.327131
secret1yjd53vday3t6k7ncwevm0wqgy2pemdu4p7we67, 220, 2150.327131
secret19mh75cm6cf9fsu5rpgvag6ecezya3n4lxprguz, 875, 2150.327131
secret1slfxkqlpkfr728559pzhj5a5x47xthswesay20, 121, 2150.327131
secret1take9ahv9u30wdj5n4kn07tsjv66j0svgpxs9q, 1033, 2150.327131
secret1a9d9k5427efrdh874fskj0zgp8vn73hpvdmqkf, 110, 2150.327131
secret1mvznldclxgdjlhedf7cuf58mzayvx0v5alezhn, 207, 2150.327131
secret1cexthfu09hcjyxagr2qewvdcq7z5vnsg3d92q7, 110, 2150.327131
secret10fe3qfy3k28f5asr6d2r4khn50llkpg3c5ary2, 308, 2150.327131
secret1szut6um5skxgdqn69q32p45us3nhh6cfgpux33, 470, 2150.327131
secret1rj0helthj8z87vthtcphavmatvnz3psd3t8rl4, 500, 2150.327131
secret1pc00ygg8643rrtz7u56efyrnvmcxsn45c0fl5p, 101, 2150.327131
secret1706daugjjt36ft2y33arssagj9jpplpxyqkup0, 260, 2150.327131
secret1qtrgvkgqct06g83tazfqewpldntuecqftah8sq, 101, 2150.327131
secret1g58kuz5njguhxm0hqydzyqaqh4svtrnysq295e, 250, 2150.327131
secret1d99dufm8dgxwea3vftzxew6huyep3vwkegk894, 208, 2150.327131
secret16lexk89xjt3esecku768cf44tze4ngff0w25wp, 49995, 2150.327131
secret1f2tx4jy6xfsjqknzdghlgtj7w5hfg2dfkhk0vz, 1963, 2150.327131
secret1w49scqsxlv2hdtq52jdpkvxmnxw9tzwg6njee9, 2345, 2150.327131
secret1shy8j5v7em8nzujjss2925uwxaxvrgsz9mpyju, 155, 2150.327131
secret1ct5xqr6sm9kj5nwzhwfq8mzuzfd5wkfdqvalat, 190, 2150.327131
