address, amount staked, GKEY
stars1c7a3r9gc5wm6cn0qpjm2y95rdcvdlx3r9ne4qq, 2754, XXX
stars1wted9uzpq2uxpjstw9lrmm2jqstv38yndnxpv2, 1001, XXX
stars1taz839zt2f8pyhc6jmvrfm76ejfe0sf8szl35f, 1011, XXX
stars1ynf89385cylrzyg399sftk05e9nak6zkv63q24, 4729, XXX
stars1r4kefunfamzxvu99eqpf25kcaeysg35q6dssl4, 1195, XXX
stars12l3jkqxf4ha2t9hnhqh5w3prfynh74rgf80wj9, 1262, XXX
stars1zvfwnkglqu3vqac4x0qjzra8aalsjhkaggfpwr, 1407, XXX
stars1xwm26sgjh66hjsq8c9py6wucl5re6mdz0uq37u, 1360, XXX
stars19y6jlhquna7sv7d26s6hcxx50dpk7zh0r95zxy, 1196, XXX
stars1gw9n62cpmukfxkc09ehs3mmtj4myqwgc7zuydd, 1713, XXX
stars1pawkhzdm0puy8y0w6aqfgnxhcmq7dy9d7qvctk, 2378, XXX
stars1lx7n87vw4mey25jllugr6txtv8wtfcvkz2j27s, 2199, XXX
stars1c4c59n2xezuhd7xswuhw0t6khmlx6h0tn4uk5l, 1001, XXX
stars14asx706rcwvcu4f5clhzlujj5hwle4fjmtpwzf, 2392, XXX
stars1q0eeehprgpe4cy84nqupkn3zj23rqc9h9kfj5n, 1001, XXX
stars1het5ulhuwssp9stmyslnmzx3y699cully4aedm, 1524, XXX
stars1ztl2nu2hv6ulpgteqh9mfr00uv3qjfmjp0qlu2, 2048, XXX
stars1tzwvta09ueh9suyevlxqp2p9kn3ufqqkary9xq, 1000, XXX
stars1uqlms3295sr29yddwlemz5nspjsykredpy3pv5, 1288, XXX
stars15a434j55nj6mejw4syflw8q20nyz9epaq0v43h, 1456, XXX
stars1v5ccdhraq8ky0j96q0rr4r75lttzr980m79s6p, 1168, XXX
stars1ugsxvv8uye826kwputxly55qlp5jh7m4eu4ygf, 2628, XXX
stars1ulaq93mx0w3yxxe38dn3kkte874nml4909vl90, 2454, XXX
stars1049sudyrjuml0tsqjx2t4d3lvptkngshffsc8e, 7581, XXX
stars163kx4qkwt6p5l598mufv3avyzm4yguekn9v5qt, 1272, XXX
stars1vrpuvunffxy2wu8tf26pqwet4e72jc7yg2nty0, 1532, XXX
stars1tujwy5rl866k64fw634ztrwhfhsp2vhu8lgfjm, 1311, XXX
stars1twqplv0rexm59er6wemj6pdfa53y5rca2xvup4, 1336, XXX
stars12ay98kp2kgr9yr8ql2judtkh8e3773nt2rtqjy, 3071, XXX
stars1x42w8ld7ql4gsk53vrtphwpt4d05v5twyje957, 1282, XXX
stars1dwayml9v4gtrsuktge7n3lqwwmfaqr8ngkmftm, 1060, XXX
stars147eayr3rk98xgqadxk4enxlvy60l90txt95pyv, 2000, XXX
stars1kmqdj3pnz9zww0rpnkaq7unk5q7y9cyfwu7mlt, 3551, XXX
stars1wujjzkzk4qtcca5cawvkj5el56nun40r8zfkva, 2969, XXX
stars128h0estu7k2swf7et264v7upqcgkmgfwruhqzm, 1962, XXX
stars1a9k05zm5njvcx4z534sj6xkxxqhtnruv29ntxn, 2633, XXX
stars1umhzgc3j6uy028024lmnws06a4chtq0nw4gr2d, 1001, XXX
stars1kcjpyql8afckcxknrmvvgl9epgzkq0sw5tdqdv, 1304, XXX
stars1gaqgs8d823ls6dqsy9g3am6cvhhr8clhx6gdp0, 1001, XXX
stars1wjysfx5gafzhmuvyrllzv0tx2zgtw69tjyewtj, 2632, XXX
stars1r0kqks5sslg0x9ek5q6y0frwws5ey7uq0fu2uy, 1299, XXX
stars17gdg8l8llr53nykezlxv6hpds3nhgr6ezr2ag0, 4183, XXX
stars1mk2yasfjljrvrxrjwj5823xh6lctkjc9lq28ch, 11173, XXX
stars1zpfmruul0kfp4l60s3frmge3nxzl6zj9edelma, 1535, XXX
stars16ullvj6dgghakutzdmdm0tngsz7222lnew7q80, 1015, XXX
stars1smscph3xw0mrme2f8x8gtcfdfhhr9sc42g0gkx, 1001, XXX
stars17xeh80s92jc4rzsdd6vvw5nwwxqd0346h8d2yl, 1274, XXX
stars154nea2frkf0euf4ht9l3uh7jhel356kecg9539, 1341, XXX
stars16z6emclf6835ynj9z0aydn87xqhr0uu7yg2j98, 1195, XXX
stars1jr2p03ryen3kz4230tngkmrcmftshr4u764up7, 1000, XXX
stars17kz6z048p63asyve7wgzt4auqv7l5vyk35fcrr, 1001, XXX
stars1dhclf37f4rquh94qyul5urj6xlr0rzq0wap954, 1015, XXX
stars1j8kcwfllv6e9tt87dldweaxvnwzk8gkjp7kg0w, 1171, XXX
stars1qk9l68ce92pmmvrkkgs6p405892cn2c5paf795, 1000, XXX
stars15yx5xg670usc4pg5zmwc3zrpfguv0rfpmsec0u, 1292, XXX
stars1kc6cmj4ad5z0qyqg3z36nwu3v5s4n7tvz8hkls, 1336, XXX
stars1krwennr400y5s5ugwqxj7sg9cetfnp6l6upkad, 1569, XXX
stars10l2yfmkp4vq2vfznvf7wf8nk6czg74ee99a09c, 2326, XXX
stars173rhu445eav02kp7nzvxk2rjd6alt3fsyl26nr, 2300, XXX
stars1p59lf9z0qzkj9v3s7w22tfsedslaxvqzgh2e29, 2001, XXX
stars1f3a0ne6drez4aj0ufsjkmq4la3rec9wanusrq4, 1001, XXX
stars1alhj9jujcnxl7qqyqyysgjvfz4cqu5k9lnvxfa, 2529, XXX
stars1let0chav99tpgt0fmecpjc9qhqztu7xyx5p37a, 1017, XXX
stars19j7q2n8am6fmm98dy60p3dn2r6jw4euyh8cg9k, 4000, XXX
stars1dxdg4vg54rscre2fmx4u99quy9306w2xkdfumg, 1242, XXX
stars1s9w5kl4aweh68maxkn533zxsg3vslaz4mdya6w, 2482, XXX
stars16d3jat46jwh8tntctswjslanlwksy2ndt6a933, 1001, XXX
stars1vuafuq42sh7xgjw6y2500yjlm58m3jrj3p0pnx, 1063, XXX
stars1racq9362dw7urvfung32xrtsujdygj0a0m7s7x, 6600, XXX
stars1qwssmxh9y6vpenpqvf637rqg20gxwt3aym93a7, 4730, XXX
stars1nctlfmw5ujhtenec4xp9k62n9jhnx6ze6jja2x, 2022, XXX
stars1ktvnuysk4lz0westx7wg9q6rggz8e59za8n77v, 2000, XXX
stars12kmma4mjtnmnqhcky6fppg4g94zc5mvkaht7jd, 1643, XXX
stars1n9vfd26eslak2yk6dp6v29vjlcmc7j0smkhke4, 18873, XXX
stars10qdvc48ng2ps4efghmfjft97r8duz9jn0t3mjk, 1000, XXX
stars1vv082ym5h2sungsvtjgljxvgwmpyfe60pnerdd, 1812, XXX
stars1gac5q72ef24z49pfmvwq25pjjaujq6zxnja3wf, 1542, XXX
stars1wrzjfcyj0gjjzfac8wr8vencwmmhuh8gu25kfl, 2590, XXX
stars1tx5fu2d7vdyjn9jt7ppm9447n5xzj7m0zudtdv, 2565, XXX
stars1wqtx3330dfy5lt6w7z08vlk52szzevre0fpwn9, 2638, XXX
stars1qkrrmj0vkraf2qwekep25zcyz2cjhswrl6tj8z, 1004, XXX
stars162s6qa5ztcjldtj8yng94ar2t6nsv22u3m8le6, 1351, XXX
stars1d3ffx9m39sk5hp0lsl9t6nh7wtedxalxxrx804, 2669, XXX
stars1f6n7kpak8y77nprjqdgz8xwprnx2f32m3dwrcd, 1000, XXX
stars1uwkcrhm4shad2nvzgpjrr5x4jrdg8qapw3k5n9, 3000, XXX
stars1tngl57943azs5pkyawfydc4fhptzxkc8wx3lhk, 1128, XXX
stars1qj9qs3mppdjf67jhndp4trnr9wwqvyumgn750q, 8000, XXX
stars12g790zmq7fjaw6e2l0g8hazwhsdyn6je96w45a, 2680, XXX
stars1ku0sckkzmsc9ld700yxawech0vyk9tr5vp7j77, 1039, XXX
stars1r55admgr2pnacykfnsng653suqwt352wprg82g, 1032, XXX
stars1yr6jwtnmy7tzuussyxf4lpxmuep6ps9lxqm7uz, 2628, XXX
stars150lh086nkz64a0hz0mdqyj4stcgvylszkhvy3l, 4728, XXX
stars1ga2qvmz6zlckc9wxfnmqelrvpcrdpp8lm45ugp, 5000, XXX
stars1uy3efc0t599rsemaars94ve0x6m80fgcd32xam, 1745, XXX
stars1yjv2wc0m0w5a6ze5c2az72jp8093y8ttas08ll, 3009, XXX
stars1hvme7g73agncdn6jgxl2dftw9m6aqeat7phxrk, 1011, XXX
stars1jz7av7cq45gh5hhrugtak7lkps2ga5v00fqvsu, 1001, XXX
stars129vyvzpun6mvhv34dl7e6yxnzcy9wyzc90uv7f, 200000, XXX
stars1aw9acphhwlevn2h3lj35t8ykptj7lywv278pzg, 1027, XXX
