address, amount staked, GKEY
juno1snhjdx7a45jq7y3c940476u89pvh6qmcj60gmm, 59, XXX
juno1lx7yg8q50ykwq9adkrqr99m9arf6p3g975fsjr, 100, XXX
juno1ea4wxmfqtedgvnpx6hju5qcmuqspht9cvj487d, 58, XXX
juno1le7s5nw2lw80cd6h7kyukfjkaxpkqk5upp46ya, 50, XXX
juno17vvxfdlr5t6xzwpv6uyte3v9uyn6spcyn0auqt, 150, XXX
juno1kpys23gmhgz30plrgvfn0uynwjwrj3n0afs9yy, 51, XXX
juno1fx8w4ptv2sklkda6ud6gl8qz2ye6hn4t342rdu, 58, XXX
juno1ga2qvmz6zlckc9wxfnmqelrvpcrdpp8lemq6yv, 50, XXX
juno1p6hqx49hpcdmexr7yydxnrx36gnr9fv5t3tz50, 504, XXX
juno1ftk4r8sl8x7vujkh83zrdn46rggcmzt6dvhasx, 62, XXX
juno14ka4cvhy2vjyhl5gm2fftesvkdsyke8pp2e9qg, 150, XXX
juno1gdkxypp057g2mcjtyae9jezd8epqae9lqq59et, 50, XXX
juno1vhp5sccp3g33ts8k4vy6x482svypwzwh6kpz7q, 100, XXX
juno1m0y4q2tazty2d900lg3h80ydl3nhmgp8agrz2l, 1120, XXX
juno1ztd2g5ckqglzhrl3tf72yj43zjgs46yu59as9y, 60, XXX
juno1jxm7zdswrtlvmsyl7373xqwrmzxhndv9aqqcqx, 52, XXX
juno1ncyugu3s7mkh8y6jnruu9j858rf68zvc5kpycq, 60, XXX
juno1xldjfdtenv5q73rt4d3yz0u2a8uk3jgn8a5l9u, 149, XXX
juno1zu9v2vp34djqa0cjle8cwylvu5euqhj78f2yzq, 64, XXX
juno1gyfcrke0xm7pl5saymu05mutvrsewqlr5quvq4, 65, XXX
juno1lcvugx9utknply2kjpzcycna4prk2lyh022khk, 200, XXX
juno1hrm6j6u7r9k6l4x7shxfsjr73ueewh69e4p84f, 52, XXX
juno123g6jt4l0uqjaet5zz96yy6xmg3n0wcr05tsw4, 60, XXX
juno1gkfrsy456camh3ufqqefuqsz4cp2z4c267f8zl, 110, XXX
juno1m7tdnxj78twh9a8p08fp45m29f84g9nnxja7e7, 58, XXX
juno1j97mslwh6wu9np2ky5w6cns5xzrhn583aswzla, 52, XXX
juno15n56vzr03mt3r4477aqhpml7h280stsm564ztm, 64, XXX
juno19gcza5dmm9dsrm8qquts5vhfhm3y2c7y9arf4k, 51, XXX
juno1dxv28lf45ph0003t0c6rv6ppf5pqegv6zhd99v, 50, XXX
juno1fra5zvqrwan9mhppuumn6n82np5r8s4jl5m807, 57, XXX
juno1s7k62zu8newvalp0u9a9x8mnn4yanz8nvh3mk7, 186, XXX
juno1ldvs3hv8225uynvnfvy55xzhv50pg5uc9zxq40, 68, XXX
juno1t4j9pndqh5amdzskgv40d7tnwqj7wr9c24wvh2, 59, XXX
juno13stj4dcva0efyew5a9dk2ehp0zqwyv2jd32fsr, 100, XXX
juno1etq7yqd77r98ud9cq9mt7nflnx2mtschfjpcyh, 59, XXX
juno1xhttwcewy0fdefgykd3hv49xjyllwu0v04hga3, 110, XXX
juno1wjysfx5gafzhmuvyrllzv0tx2zgtw69ts2dg8l, 60, XXX
juno1g7hvhtute5pzls5y0lyw5rnvl9ddggd6rrl5ey, 58, XXX
juno1y8eyz3vf48ydt9ycjlwdrtsfffs79zj3wsydxx, 60, XXX
juno1884jtlus46japvs3ghgejwepy0jhg2waxm9tyk, 58, XXX
juno14nqywffpdfg8rfr5nw5lu9ylr95q9nmgm5szgu, 121, XXX
juno1tmq65dscakfj5u4c97chlea9rznzncfepjfm27, 58, XXX
juno1yk4ckhkx7fm72d43luljfsxuxmvwhswcem70xy, 56, XXX
juno1zgnmvghrfhmpxlxsg7kdjewqydv8krtn6x36p5, 50, XXX
juno18l4f32zejq30u08l808c2y2lu69znzykl880ya, 52, XXX
juno18p97s0a9nhjpex33mvrw8uknh2pc8lfhq4q6gj, 56, XXX
juno1n8gr2p44e84x22lqe0q88eg4n37wxcgpp7yuqn, 500, XXX
juno1xjtsutqt8jdheptpu38mmuve0hftcvrygtvz28, 50, XXX
juno1ul5503lrmfhetdlqwdq0dzx7ds4yee06hkahue, 69, XXX
juno1t79pp4rv5g928rgru3xywdxl7pae8ud06e7569, 115, XXX
juno1mm8huzhpk5tx5vgj877zse37c2zdymzl462sqh, 192, XXX
juno1fwmcetqmn2re4dfcq9gh3xzhsj0vc2mqdk8c45, 124, XXX
juno17fmhd9esc0g26qttyq9q0kph6ze0445cndlcda, 85, XXX
juno1dh6ky2q8uf7x0pa4m2sdegz099ercxzlx8rp5d, 50, XXX
juno1ugsxvv8uye826kwputxly55qlp5jh7m4mjpzyy, 60, XXX
juno1uqdqwgpjtwm647y26g8ujucphww8286ycjy4t2, 60, XXX
juno1ykyk43nxapm48n60ft0sr8ndrg8deu9pjlty80, 120, XXX
juno1ynp5697gjtesj2qd4qnmrdyfl89sfy7p7zazvv, 61, XXX
juno1gycjsa0vzmkfa5ztyw5xmw7lsp0udel0vj7vjp, 60, XXX
juno1u2z93g6kj6tx8v25judp9vx42mhs4gh8q0swfe, 67, XXX
juno17he2xhtks2ke73cfznwga5lgf22u7yrfsmlela, 51, XXX
juno1jpz8wm76l32cs4aq25zx8r3ef9segan7yz9fzj, 156, XXX
juno1k7vfxrg3krh5yzkfzea5m7lkvhmcuffzx8shmu, 51, XXX
juno1edz0jjwle27syxwr90y9vn40tt2g8wxanghj48, 51, XXX
juno1vypctkdnn52z9cxq5wn7v2uchmp46v3ufespgn, 60, XXX
juno1al9tye40s3x3sy6503wnumenh7qduxqmkfjn37, 152, XXX
juno15nmdvrjk6a457uyel4vwjc9499vy407w7y086u, 54, XXX
juno1hs8v0vxjlw796zjjsj25hjckgq80scjewdajey, 50, XXX
juno18utmyq343u8kka46xjc9l9m47a2uuwgv42ce9s, 100, XXX
juno1kcxrlt7kfks8axkazgtmh35ss2vyaq8qkkunx7, 54, XXX
juno1c0ngyl9mjrdeuwegl5r0sqdfy8qcc8k54sl8tq, 250, XXX
juno1y5evllh99jajulc4t2746mj3j3dqa2fenxar6x, 55, XXX
juno1ed5skh36xhtsa6v998kq6ewcysg3aeundztue4, 136, XXX
juno15wny3ck5n92202c827n2cpuhv58nutgjuz252w, 57, XXX
juno124jx32f0c9x44vg4n8pmltaqrwmpdrkcp8t62h, 58, XXX
juno1u6j5g393rk8rqj44kdz9f6daghzl8qw36nt47r, 51, XXX
juno1ka3zav62vgkj3v5j43qnhe8ckh9tv4ahkup4kc, 50, XXX
juno1nt5r6m0py9ym7f4zqpaktflqxdfgked720xmnc, 60, XXX
juno17vxf0y0x0gkhan33yhpeuxhyzd5069vn798mhf, 52, XXX
juno1n9vfd26eslak2yk6dp6v29vjlcmc7j0secrs4c, 840, XXX
juno1shkrc8l460v9542rvufqshafzywzsaaqpawqun, 54, XXX
juno1w33gxnta3xxf07xjh3ca7m87k787pum0lqwtfm, 50, XXX
juno1zme8ssnyxlexfcwcef8nsyzf48l2smk82dy6zt, 52, XXX
juno16pfkyl4a3uq239hr5cleje768m4nmnxth6rfjv, 50, XXX
juno135akrey7nnqrsm50hnp34fpft5nxxy5gzx8qjp, 61, XXX
