address, amount staked, GKEY
juno1rc9kyu89k4qpfhj4mhaa66n5n03pkd5m26z7t7, 100, XXX
juno1meahec7szvpdzs8zy7lw3y075h8q4envdvq6sg, 65, XXX
juno1m8sxn5fnn74ftw2npw5d2fu4gxlha64t44n6tg, 80, XXX
juno17q8gmyeladh7ckfghmlx72mundemz44acqy6d8, 69, XXX
juno1m07ve3qpqnhjndemn2hs6m4wy4tm4ud0mtt4vd, 54, XXX
juno132df397fzv462sfcnrknmhq6sn80h9rcjf0lnl, 63, XXX
juno184sxruylzpe362rqqpxkk5xj9au6reml4tcznc, 50, XXX
juno19s4a9r9jhjdft77m7hfn42anchh68flwt3lx9n, 62, XXX
juno1jhcqqjr4u8aykwje0jv898w8u22xn24k44s2v6, 73, XXX
juno1cg7egu2apctuerljxxkdl62s82cyacvny05nfd, 64, XXX
juno1vepn5wsy5rcc3jku5kqr0k8vxzzmakucw9p687, 54, XXX
juno1dmjmvpykdnaxnn876qpt8rvcfz78ymld2wkqx7, 50, XXX
juno184d5fy7nyug3t4j0a0djqdklvxmaj3mdcsl6kv, 922, XXX
juno16dljrw949xr8dq0jz6p948m0gaec2u26zy4knz, 125, XXX
juno1qacl3e79xfwzpf5np3zc36kv3a6m7juz2v5w2s, 151, XXX
juno169mfth4chvsh5nemlfupyg7xq22r5uy3pfkgnc, 57, XXX
juno17m6nljqlutsk2drwqya6vl2alqwwpg05y9yy0z, 51, XXX
juno1h97mxhp2m2fxgsgzf9f5adpltk4vzk0tq37w8z, 323, XXX
juno1qhsf7v2ysk3ta52xe064ufel2ge7fxemgc24ep, 64, XXX
juno1qv0m7pm5jf7elfc2m32t9qzrtq69903w9u00xj, 516, XXX
juno1282x87wy3zfmc6unx5ju4qtljln0un2xy4j96z, 50, XXX
juno16yknd5mwe7xmnqmccnvyasmgwfwtxc37sqe2pd, 97, XXX
juno15d3ckhuj9verphjcc370ethkf4shkkd52hcngh, 70, XXX
juno1cmlskj8t6rx3emf4hp3kqe90qqeqtteypl3hyn, 55, XXX
juno1nmnywyq3dr48ltkw77q70aavtyvl9w4dt58tfl, 72, XXX
juno1vv082ym5h2sungsvtjgljxvgwmpyfe60rad9pq, 213, XXX
juno1hr99c4zktlxf3kzjzh50sa5fjym2qjpqja5cz3, 57, XXX
juno1y3q2qd2s0zj4wmg3shmjdlxsl6kqn3umjtcdl2, 62, XXX
juno1ynf89385cylrzyg399sftk05e9nak6zkw59xxc, 533, XXX
juno137am4vdy2npzlukfy0xsndlxwrtg70njueprt7, 53, XXX
juno14k94vp5q0tjldf70e5h3sdhn8aukqp7w628cuq, 64, XXX
juno1yugcyr0tfh5rtvjwgsps2hh4rdujepfnva3nzv, 74, XXX
juno1g2thaqvs68zfhglczq2ev7d5fxwrapatgg4gkq, 130, XXX
juno1utn6ut2adkyxy2mx5mknmwf87tm3k02sfgsm96, 104, XXX
juno1snv8z7j75jwfce4uhkjh5fedpxjnrx9v20ffflzws57atshr79yqnw032r, 1371, XXX
juno1k0anvfqhceh4clhjrvvfzmcdltj6y2q9zqu0hz, 63, XXX
juno16jylpmx4234jyvst6c2de7ga56ds22smzmamyh, 50, XXX
juno1dswkrjk52mmz3n7sdre4xw3f2vv9q97fht09t6, 60, XXX
juno1lmmgf2age03pzy5ar4d3tt428mn52q8ksmgf06, 55, XXX
juno1dpg45ph0vqdttt2wupumjmraxvu7dat9qdvytn, 115, XXX
juno1mh34g6jzdnc89wk78k49fc2rhesshfcz05thl7, 73, XXX
juno1yr8fgts6d76g0u847zkng2e9l9nk4stwfm9tlj, 64, XXX
juno1fnraq07kp9uluzg8wuuv5323xfa93fggzmmz85, 54, XXX
juno1q85k7an4hwkwhfjcxtkkn6at5p07cgmcwujzn5, 103, XXX
juno1g0kpt93nu5th4raugwglprehapfyzsjkp00uxq, 73, XXX
juno1eyyenpe8es4rmrjzhphnu4k4lk8dty7lggsmrw, 50, XXX
juno10qznkpv7trh8z3fsm0m9rlu258tj44tmd2qr37, 533, XXX
juno1rkv7p5yam2cg48lmxe4jecznlkpwcdky5mz2yt, 247, XXX
juno1z4quax3k5hlj4xt7wkdkqp5l4hpgn89ykv28u9, 75, XXX
juno1y7h673t8uvtu40jyqhr5zv0qffqgv7tcxl8ulq, 50, XXX
juno1j9vcs8k2ndnvwzkfgqkw33ny47h3pw3uu9ncs3, 56, XXX
juno1km3gqz2vzw075qjdwamq5xdlsyaqatx6tyqdk3, 51, XXX
juno18ucesam4gdvuu37a5vhgwjnqzl5dfvd7kd6xm3, 50, XXX
juno12aq7ka7wqske073hvt80mf7yht2rgglh028wzz, 56, XXX
juno1rckat9a4q5trsq04tuyrmpan6dmnrjaxrvevg0, 122, XXX
juno1ypk6qlwcunqjchsrkajc22tmhs2k50jyl4jzfh, 61, XXX
juno1tmtwh7lddse4qt6lpk4d8ze3av4wkw7n3k6waz, 112, XXX
juno180j36lh2axv6763xg0gd334yr6au727tquaydg, 53, XXX
juno1tn6lxfg0qytqlwc6rkh0dxru4stdyk3kglu7ur, 50, XXX
juno1ygnee8z4qgdlr6xze3kh43hx7kg54pkzn36wfc, 222, XXX
juno1k7vfxrg3krh5yzkfzea5m7lkvhmcuffzx8shmu, 51, XXX
juno14wuxjm4fj0g80vyz98jmt3a83crdwmt8kfnt9m, 64, XXX
juno16ppny2tg39epm4seukrumyyaxlfrgr5d28tcek, 533, XXX
juno1pvulmnqglzywnhfx8u3rrvz48mz3q47ut7s2rl, 53, XXX
juno1n203qpjke3jynrfw6tyr8sgjzaa78c42ghhh6s, 50, XXX
juno163k4hmdta8l0pjhqh004p72drz2msy9qm0w82h, 63, XXX
juno1rhd7lywrqh6hg9qgmv3xqz3n6np42mj0paa90n, 269, XXX
juno1dxqttfjdp9lp7cvjkflx92eyra4g39uu4ye8vm, 52, XXX
juno1zacx48t2msr5fuvqc93hutjp87n0lg9n7mtss9, 63, XXX
juno1t3qp52hf5p4julm52ftssqxdhpvyh9c0y3jmg6, 51, XXX
juno1lthjzy5v3els6t6hdzv8ug5hjq5ldegzhttsw0, 56, XXX
juno1krs9xakfe9fyrgpzn0vlu85n6z4vkvslyvfpc0, 54, XXX
juno1yjzrjcsf8str0tenhn9n3hrh3yzp56vq4y9mrr, 62, XXX
juno166p5d2xlc2cv758929g2zeu5r7c6g36ekmx46h, 111, XXX
juno1f4pyghxn647qvaqwcj6adcywetu8tn6zqnmttp, 65, XXX
juno1tqyfpttjydt4lf4qnvwtd6wzfv5zq40stjmrxa, 106, XXX
juno195z08s2qj0em8pzyyaqm5l29p0w9vrdejkwnu9, 500, XXX
juno1l5x5tzg9v723nurtvkppst9e0q3lmknca5qa3w, 659, XXX
juno18xwhu339xrz3hne2thdc2j6g8vmq0xn2t4alxc, 64, XXX
juno1kvppg0rt4khvcfyrfj4xx77yvctc5nsq9vefwe, 50, XXX
juno10ka033a6vx803h7hd4mfe3l8ky0txwcq64rfuu, 51, XXX
juno1mvk96yps5pjfvkadwkn2lzd5s4v3gg2fzrzqfj, 120, XXX
juno16j5fva5rh3ucvfrnnp0rpu7azl88z5sq6kj87u, 58, XXX
juno1p3frcw6qh4ecef72huds52ekpl6xh76m7xswng, 57, XXX
juno1glnlc8suj3ap6ynfedqkye55ljn6p93kywqga9, 70, XXX
juno1dvfs7lzahxw0alfqmput49g9zpzx6c008upzyn, 50, XXX
juno1g3u6xfnuwvs40n306u2gcy28g8fsx75jmct59q, 151, XXX
juno1snhjdx7a45jq7y3c940476u89pvh6qmcj60gmm, 63, XXX
juno16e9pc2jaukenkrkg4mhjvlxu7sk734ejw6h0zr, 55, XXX
juno1qgw7wt7rfxgv66jw7maszdup6265v9fm8xzxxa, 130, XXX
juno1vws3z49g7zg6yrjf09luhd0ujjug0a2gdy7ngu, 182, XXX
juno18kxlcsn0jmwmnjkfp3rrevzt3k7raaefwf20ga, 50, XXX
juno1ms00jqyxkkcscer23ed3zj2rswpaf5yetefwqa, 117, XXX
juno1yfqswayzce28rzqrw9z6gctv4nzwwktslfjf4r, 432, XXX
juno1mm8huzhpk5tx5vgj877zse37c2zdymzl462sqh, 218, XXX
juno1xethww6my66lrym7fkyywsxq0hvk3m5yg99sm8, 53, XXX
juno1rwhv7ujmn54gug2y7gg43ekfcknf6ne5r4xtl2, 50, XXX
juno1xex5n5q54qh5n7vslz9tls6k543hah3h7e2t27, 50, XXX
juno1tzk0kug6mk8cfs04ywg6xsswpyywhxserdqpgy, 50, XXX
juno1s9zvyjwpymgqseeu76f5yv6mxrz80ln48axn76, 64, XXX
juno1cg5n6fnh8z4h56s5k2lyj9jmxkazzh9ldce8ck, 100, XXX
juno1nkys374egtwtjqqy5dm98ru8zt3gxz5s0s45xl, 79, XXX
juno12cmyflc8gn3cwd5rdjmfjfspplfe8rvj6nj0cl, 105, XXX
juno1x03scqem5gthxyhfefhsgl9a3y24k2lndaq8dr, 138, XXX
juno105h54cc69axseakx0kuxecwyknwjtugvlfz0la, 85, XXX
juno1wzzwvazhcvqutgu9wx0dggjtaaama5vkcnamm4, 50, XXX
juno1wzcusmj6vmt0gjkz4z7eat05mxkzzrvskvap0z, 52, XXX
juno15r6cag9hwushe8n9sjen8hhgz268h5wuvxzra2, 63, XXX
juno1swe325nk28u6aacghx8nqjrrltm5hs6jfavpq6, 64, XXX
juno1dve2z6vgvqu4x9m4yughm5stggur8748ahafnx, 109, XXX
juno1e62jhm0hzgfntee5pvekl3eaxcqq5lwtwrecej, 246, XXX
juno133v4j6vf54xteakkwkd7wu7ctjxv38emyr4226, 63, XXX
juno15tk5lzt82dgc637kw9hnnl4l6ynaknzhcaszxy, 250, XXX
juno134fj8gjveu7gtxjcre07k6npvr2d3slc20aqkg, 64, XXX
juno1d6h3qgvyn5ef5x4ke35hpxwhgwq0za5a57lv3q, 97, XXX
juno1xssqr76amz0feeveux05fg9a9pxqjx6rrcg6e2, 117, XXX
juno1dufwewajhvqqdxu9k9za20anjhpgdmx62erg8c, 64, XXX
juno134cfwreuzz4xs6kncqe3aazy08n5u2xk9pkj3g, 63, XXX
juno1ytcx9kertr27rwmmk7r0upf53kmvsxz70kk23t, 50, XXX
juno1fmmkme8sa5a9lvf5z4dqv8slk7je26cpmsun2y, 300, XXX
juno13695el8slwnp4vwae2hxcqsuxj5xllnzdnhajy, 64, XXX
juno10j27mjxv706lkvmw8ewpcwa8ajp3srmju6vgkq, 251, XXX
juno1p0v0dn5xgfe8u3shqd6uvpgkkaxscvefpw4nuf, 100, XXX
juno1ujkfpm0qsrz38ww6a5p4dhgjkx6gja2vx7f9kw, 53, XXX
juno1w4tju4gwr56pf72qc8j865lay80cvky7wzavdx, 139, XXX
juno1mqe90pvkg86nahxcqv2augcwrz32hkswkx98yw, 100, XXX
juno1r9nmmpykgqs8y0jt23vf3626f0gpa6xnxyuuc3, 83, XXX
juno128h0estu7k2swf7et264v7upqcgkmgfwpjrxwk, 70, XXX
juno1err5c2tc8ha6qa42tpvedgk585dpj355u58zxg, 57, XXX
juno13srx3tmyvd0fdts353nq434jawsvk6hzqag4wg, 749, XXX
juno18g7ed9lm8qpvtrhuuvgg7slq2jme6eqsghs9um, 75, XXX
juno14w6y74989439yklgkhl8a5wx2whekmmua0l8ce, 127, XXX
juno1pxtry07jrmhwkv38vkwrl9fh4xg8pse3wdwkpn, 50, XXX
juno1722vv36vjxa9drvhz4rze3acjds5h89jeea3lg, 63, XXX
juno1kc8069fw6kv23jlzwn886enygq3xc2t3hxghvg, 136, XXX
juno1ug55de9d6a7p8ada3y7rs44t4kvf5cxrj2e59h, 62, XXX
juno1z4pak2ssenus02rjz2xthpcrr8qpzkhn97rg3z, 150, XXX
juno13malrrmcn3vcrnqgjc02et0alj072hjjk7fj9z, 64, XXX
juno1qj77duwrudg9tl6ekksnt3ehnpnwvf8qum8q8h, 90, XXX
juno1xldjfdtenv5q73rt4d3yz0u2a8uk3jgn8a5l9u, 208, XXX
juno1kqf5pkp9wyd3h00g7x9mqxqfy3j27vcsldpg7l, 61, XXX
juno1qwk8l7d4cqvx284q3clfmgx389lv36jlzzcxqw, 64, XXX
juno1ahfsu9n2yd6lx0qukrd7k8nc2m24l6jpfnkt9m, 66, XXX
juno1snv95n2875q4dmv0x5xjgvwa9s063yl2uvatle, 100, XXX
juno1v5xlyxkzphwcqsjlc00h6s65wcjn4nnth67ps6, 100, XXX
juno1lkl9uv0cljhzmhuzdvd2lf2swyrxnzyen8j9va, 57, XXX
juno1zuerxn9p7kr08jmcw5fvxlzk9kls0qpqzqyxj4, 63, XXX
juno1jnq8h5kxw6y48cd809cayndpjqrjdkq3premf6, 50, XXX
juno1k2csu30rgqwpnt0k8s32ysu5ptzgw0cwkpnhkf, 144, XXX
juno10z77zj05k545j0j9vwmws00kgphj3f0us4m8ln, 100, XXX
juno1fra5zvqrwan9mhppuumn6n82np5r8s4jl5m807, 60, XXX
juno129976lfv49et2rakf5kvmjfk4355c8m0a07td8, 52, XXX
juno1w5nmf0hjxumew3w09s9gxutaxmrcm3n0ul72ws, 55, XXX
juno17g3wxjfy0sjr5elacp9c2p9m2wm00xntn3wy5n, 76, XXX
juno105a8dx7gckthyjh3e2y0xsuhwd6a7vkmw40jvy, 54, XXX
juno1zf5y39d69ryxdx9xea53rw0trtwfk59cesswff, 50, XXX
juno1r8wz6zt6h3w97pa9vgsmyhshv6mdlse07q5c8c, 56, XXX
juno1vatz2edfycrvshfgtq9rll6m2rxhpzjatce572, 111, XXX
juno1c6ue9rqusesy59e2rgkj2e5gywnx8hkjghg0tw, 53, XXX
juno1pv49xdd3jsew4hvvndtfwruq3e8gptqsypjx9p, 51, XXX
