JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno1l53h5wzt46qpqdz2m4hgmna4qyxnhfedq4zp67	10,080.65			10,080.65
juno1lc42d6w3srgzsmm7t0rjy2cygpwfr48chfkdlq	10,080.65			10,080.65
juno1plsh04kr75a5lxg03s9esvwtkj9t5jx6tsjd2h	10,080.65			10,080.65
juno1qer8ejxknh6lywy8kuhz6w2e35dk6xmavuxl3v	10,080.65			10,080.65
juno1ykuq73huhh4yqd00qn5yqpk46rht52cfv4afgy	10,080.65			10,080.65
juno1zkzndc7sryelehch4hwsf48d0749uq35t3nzvg	10,080.65			10,080.65
juno1klu2656a8flz3vxhtp229x4e86x538jq3tjyca	10,078.68			10,078.68
juno1e9g7562anqvahtraaktl93ak6jzhj3jug9u25t	10,078.42			10,078.42
juno1v6umul8nun2xaml2y24zrhwc3gx2lv38lvjsyf	10,004.50	osmo1v6umul8nun2xaml2y24zrhwc3gx2lv38p9zm48	72.00	10,076.50
juno1c7645856mljqjpj9qsmfavtren3vk6g9894p4r	10,076.33			10,076.33
juno1eqemvtjtfx43snexxya8lav4h3fpxzsr5evej4	10,076.17			10,076.17
juno10sxe9z0xt5hjs78t0q60p0wzuhlzq5m6p3a3qe	10,006.52	osmo10sxe9z0xt5hjs78t0q60p0wzuhlzq5m6lcd63h	69.00	10,075.52
juno1xpjenqlc2x8e67c9zcjp2cqskxwdzm99mz4jdk	10,075.12			10,075.12
juno13qmz4tnvqjuyfegnle35farscnz4f0avcccg0f	10,075.00			10,075.00
juno1lh78a0p9p744uas9kryx4gwq3zggny07cerne0	10,073.44			10,073.44
juno1g6ce6dd8n7k7ej958rvjjtzewpgrkmqmegmz4m	10,073.43			10,073.43
juno1ysq9gst3vx5yt4wmkeedl6jhqq0zkxttxazqll	10,001.17	osmo1ysq9gst3vx5yt4wmkeedl6jhqq0zkxttc5jtw3	72.00	10,073.17
juno154v4lhj72p630aafk9fusdffm0faqgkn9hvaca	10,073.15			10,073.15
juno1pua2ne85l4hqjs5haqtu4sez2jgr67ej0e0w82	10,072.33			10,072.33
juno1kz9a3m46sxert8w2s243mkrkrmhrvf3lf5yl3m	10,071.33			10,071.33
juno10u24rwqfxl48rshaasextp5a25gejuzaj0sc4n	10,070.79			10,070.79
juno1uzukwlvcx8pwacm2zdprmf557l2wkd0849p49u	10,070.65			10,070.65
juno1ref5deq59z9q4aj6k35vj6anmysjh8d7rkx4c0	10,000.47	osmo1ref5deq59z9q4aj6k35vj6anmysjh8d7alk7fp	70.00	10,070.47
juno1g325wqcfeucqdzddazj9xjvn2atpys50mn8fhm	10,070.00			10,070.00
juno13y20ud6h642cyp46ysp090djtggn9alh9el2qv	10,000.65	osmo13y20ud6h642cyp46ysp090djtggn9alhms0p3z	69.00	10,069.65
juno1m58mlp28sw6u8nc920zvejajuyezp5thpq6p6v	10,069.58			10,069.58
juno1ah4hnz5surarmsx02p7xgc40qnny92gc6m00qg	10,069.09			10,069.09
juno12g9405stdrms407cc28mwcyjp9htjq05v95h6u	0.00	osmo12g9405stdrms407cc28mwcyjp9htjq05jvyutj	10,069.00	10,069.00
juno1vqd6hxuqurm7phg586vw6rv28rga4edl0guguj	10,069.00			10,069.00
juno1h8syn5pk7kerwydndj2u0ur0007spusw6etxa8	10,068.90			10,068.90
juno1cxtltr655vy0fznd8ctexkxk6cppsuyjmsdvu8	10,068.41			10,068.41
juno1hu45yshfz6wc4vj6j5xwnm83uwygw88e2mnt4a	10,066.28			10,066.28
juno16zlzmce8klra8je5qu24q8pw7tgplnt6vj7k3g	10,009.81	osmo16zlzmce8klra8je5qu24q8pw7tgplnt6jmwaqx	56.00	10,065.81
juno1yjh92ya4f4fmfu4q8tmkkqu6e7l3nlt4ds9ph8	10,065.11			10,065.11
juno12nmelh9psl0hnah3ssclqrgh6cup030su4k4xw	0.00	osmo12nmelh9psl0hnah3ssclqrgh6cup030szux7hq	10,063.00	10,063.00
