JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno1njty28rqtpw6n59sjj4esw76enp4mg6gq37gxk	0.00	osmo1njty28rqtpw6n59sjj4esw76enp4mg6g7cwrhc	29,557,623.00	29,557,623.00
juno1krxwf5e308jmclyhfd9u92kp369l083w8fvrg5	0.00	osmo1krxwf5e308jmclyhfd9u92kp369l083wequge6	25,437,615.00	25,437,615.00
juno1aze45mu9nsh56zk8355khqnjr6r0tl9l02k0ej	2,709,340.66	osmo1aze45mu9nsh56zk8355khqnjr6r0tl9l3rxygu	112,389.00	2,821,729.66
juno1qanwkm62vetdgan6kpyq7n3kufrwce2suv483v	0.00	osmo1qanwkm62vetdgan6kpyq7n3kufrwce2sz99vqz	1,054,439.00	1,054,439.00
juno1crckdhfjpq4rn2prnf484fk7n239qtnmtj23y2	818,623.94	osmo1crckdhfjpq4rn2prnf484fk7n239qtnm4m664y	126,149.00	944,772.94
juno1j3p24vjzvdprntyf082us5g2h0rlzmyclgkahj	816,491.00	osmo1j3p24vjzvdprntyf082us5g2h0rlzmycppxkxu	6,281.00	822,772.00
juno1ad8evruzjjmgjc0w0520qx2l3yc73rjtafxmzu	817,509.00			817,509.00
juno13gvu4z3fne3kj5kfg3ynayexjf7wpt6kh95edc	700,000.00	osmo13gvu4z3fne3kj5kfg3ynayexjf7wpt6kfvyjuk	84,570.00	784,570.00
juno1qpg2942rlm5t98d95eeyhlnnezrtcpy6v3jdyd	557,895.38	osmo1qpg2942rlm5t98d95eeyhlnnezrtcpy6jczx4r	3,474.00	561,369.38
juno10jl2g4644qny765pqqj6fexfhhfcjm2a7cra74	420,690.00			420,690.00
juno1uym3mu9xsdvykvr320aefkp6vh78mgvaf2r4zz	67,582.39	osmo1uym3mu9xsdvykvr320aefkp6vh78mgvahrn7nv	326,802.00	394,384.39
juno1e9aqvyycwly33qyeeuequp4yggyhrzjztp06p7	340,123.40	osmo1e9aqvyycwly33qyeeuequp4yggyhrzjz4gl3ss	5,993.00	346,116.40
juno1k6udtfc90k8h04aqdp2e69udd52z80lp3c9ghg	184,261.33	osmo1k6udtfc90k8h04aqdp2e69udd52z80lp034rxx	107,541.00	291,802.33
juno1yen5f0ej9njg0d9pa8nn2hwjpqqm36zj38t860	288,786.00			288,786.00
juno1twaqkw5fje0xj5z4jxvft6hsd2gxwfk68g77c7	0.00	osmo1twaqkw5fje0xj5z4jxvft6hsd2gxwfk6epw4fs	285,301.00	285,301.00
juno1egkzfpg7xtkagrrgm46600zjvzau8sxyqppg9l	282,169.00			282,169.00
juno1jume25ttjlcaqqjzjjqx9humvze3vcc8z87szj	94,243.81	osmo1jume25ttjlcaqqjzjjqx9humvze3vcc8uwwmnu	124,410.00	218,653.81
juno105ytzzer2c6h63tfy9cu8x6sajclzzaxfqz6h0	0.00	osmo105ytzzer2c6h63tfy9cu8x6sajclzzaxhfj3xp	194,433.00	194,433.00
juno1nkwwh4t3xxzhp97ezjj9h3tyh4x93atpfrv89y	64,138.21	osmo1nkwwh4t3xxzhp97ezjj9h3tyh4x93atph2uv52	125,230.00	189,368.21
juno19caz5cgq4cwqdmfealqrq4uw5j56q8mawk88p3	173,024.17			173,024.17
juno1zrxzlzn0k4ppyqjuy8kylkykj42tclrvdtxwqt	168,323.12			168,323.12
juno1tghgz0mvgpsxtyr8t8u8unlqd95fqxfw4umyya	6,384.00	osmo1tghgz0mvgpsxtyr8t8u8unlqd95fqxfwt4t04n	150,629.00	157,013.00
juno1n7vuv96hgapkdwqxlszz0sk2kfd85ykcmsg022	90,779.97	osmo1n7vuv96hgapkdwqxlszz0sk2kfd85ykc9ecymy	64,730.00	155,509.97
juno1xethww6my66lrym7fkyywsxq0hvk3m5yg99sm8	143,241.63			143,241.63
juno1w40scum8rehyck89wda07sv6wnvuyuyqph64ew	1,703.69	osmo1w40scum8rehyck89wda07sv6wnvuyuyql727gq	140,021.00	141,724.69
juno1uc6xpdry3jcy96dclufpk4jzkr2wq34fal4gqy	0.00	osmo1uc6xpdry3jcy96dclufpk4jzkr2wq34frk9r32	141,537.00	141,537.00
juno13h59ek02vmpra6zlcp47068pgxujaxjecvy24v	110,000.00	osmo13h59ek02vmpra6zlcp47068pgxujaxjex95pyz	11,502.00	121,502.00
juno1tvdkle3qurvd2y8a87473550kjdx7n5r3pewcr	0.00	osmo1tvdkle3qurvd2y8a87473550kjdx7n5r0gf9fd	119,069.00	119,069.00
juno15y2cvrfjg5gy9a9tsws8q6tz6t00ndss0ds7cd	0.00	osmo15y2cvrfjg5gy9a9tsws8q6tz6t00ndss3yq4fr	117,229.00	117,229.00
juno1vfga73yc98melxja48z6l6me9y8plcf2kke430	112,289.09			112,289.09
juno1aqurjvngjrunmvr9qrc6f30qw3v66sk4w4vmz5	106,295.97	osmo1aqurjvngjrunmvr9qrc6f30qw3v66sk4suusn6	3,555.00	109,850.97
juno1s3txxl96g4y5dap7pllvtw8v2whpfs9vs5hp27	106,205.22			106,205.22
juno139xdnvgnreq95t3ey98kym482ng6lf76uvs4r7	5,956.54	osmo139xdnvgnreq95t3ey98kym482ng6lf76z9q7js	100,213.00	106,169.54
juno1vzxt2akmr76ddg7epxklnwmdjz5m04l3284wuw	103,701.36			103,701.36
juno1m6xmq9evfvqpu39m527vqpyw32zl3r7u6rafv4	100,000.95			100,000.95
juno1vpdehzac9n8lz22xhz09kstttf8kedp2tnvx5u	100,000.47			100,000.47
juno1zfh6ccddln9e4fkwse7fcquvecpnnxyk334jwz	0.14	osmo1zfh6ccddln9e4fkwse7fcquvecpnnxyk0c9elv	95,161.00	95,161.14
juno1paeh4chy7z4qtqrg68k459ps5elkuyt2wxk39j	68,277.85	osmo1paeh4chy7z4qtqrg68k459ps5elkuyt2s0x65u	26,544.00	94,821.85
juno178n8r8wmkjy2e3ark3c2dhp4jma0r6zw0a4wuk	18,870.99	osmo178n8r8wmkjy2e3ark3c2dhp4jma0r6zw3599dc	72,083.00	90,953.99
juno1434zluxmfj85vwpc3stk03wrcuzrqllc34chg3	89,602.62			89,602.62
juno1gmsvfd4jczze0dhu49ajng3h7q9kmcntk68ue4	84,120.25			84,120.25
juno1uwenqayqm823g33nxnzguhtytq8erc48yw2hwz	51,240.97	osmo1uwenqayqm823g33nxnzguhtytq8erc48686ulv	29,781.00	81,021.97
juno1au0xvaeuwkt45esp2kp4tdlvj6xq52dne8wg9k	0.00	osmo1au0xvaeuwkt45esp2kp4tdlvj6xq52dn8w7r5c	79,865.00	79,865.00
juno1ucj4xmmq3ykgkw2halpf24h5n2awsu2tp3wuez	18,892.66	osmo1ucj4xmmq3ykgkw2halpf24h5n2awsu2tlc7hgv	59,840.00	78,732.66
juno1vmzzm28zqdzasakpaqj0trznsuca3fhn6xcwd7	78,303.65			78,303.65
juno19eu22zmzy5nz7cry2m20cqcky9sfm3nd70wegh	10,035.73	osmo19eu22zmzy5nz7cry2m20cqcky9sfm3ndqx7jee	62,173.00	72,208.73
juno13eej67rs8lgkg77eyyefxrughp6y0fwnqzqfy9	13,430.26	osmo13eej67rs8lgkg77eyyefxrughp6y0fwn7tsz4t	55,837.00	69,267.26
juno1mlnak03uv77p8chr50aryqnyrxn8ht6eshkns7	67,966.00			67,966.00
juno1fxu5as8z5qxdulujzph3rm6c39r8427mjnx99r	64,998.50			64,998.50
juno1hvt9k2rxys73c6ydug72z389zf3wu6zc8xamu3	0.00	osmo1hvt9k2rxys73c6ydug72z389zf3wu6zce0dsdl	64,198.00	64,198.00
juno1scexfeq7ph09mam395astpeacky2fmhnslfxem	64,162.01			64,162.01
juno1s7k62zu8newvalp0u9a9x8mnn4yanz8nvh3mk7	28,965.86	osmo1s7k62zu8newvalp0u9a9x8mnn4yanz8nj7ps8s	32,793.00	61,758.86
juno1jqxkm70urhs96uf6z0k3ur6qk56arzjq9cnqtk	10,088.19	osmo1jqxkm70urhs96uf6z0k3ur6qk56arzjqm3rt6c	49,808.00	59,896.19
juno1s9e5f49ynl664ny45cuckyhyvcx5hyajnw4tnl	59,610.67			59,610.67
juno14jp84u699frcqnf383xehjzjzympsf5zlzhjz4	58,429.00			58,429.00
juno17zjhp24g69gxvd8fhr76tmy70lapuy4p0cj5f7	38,321.44	osmo17zjhp24g69gxvd8fhr76tmy70lapuy4p33zlcs	19,937.00	58,258.44
juno1fxw3azlpglvj7np276g09euu674m08cs7qxv54	57,828.17			57,828.17
juno1r4thrg4c9crc2e2lppx07dhu04x26xden37c0p	56,471.22			56,471.22
juno139k83x9c442fqc8a44cux8tlhkwwcm7enn6cwg	55,855.29			55,855.29
juno1kt80xzf3279280kdech2eth7fad8ht6x5dy08q	55,429.00			55,429.00
juno1pals5m5gewvr23wpu0h52kk86qrf4kgtkn7zps	53,418.00			53,418.00
juno1v0f9trvj89nfkrdaywk6q473kh3l872cm8nya2	51,186.95			51,186.95
juno1zlu953zzkl445hpnr9q4jqt3x4lhxuuqsfqfw5	50,817.25			50,817.25
juno1v85s3j23lqwv5mfemnlvp4hnxfv0zxgv8rtkzr	0.00	osmo1v85s3j23lqwv5mfemnlvp4hnxfv0zxgve2mand	50,000.00	50,000.00
juno195x63zceqj9jylnp5luahe7lvh3fvukf9h52kq	44,086.85	osmo195x63zceqj9jylnp5luahe7lvh3fvukfm7yp8w	3,258.00	47,344.85
juno1ghfnm8fe0e6tzp50940qsxkzqsdeqpv40dc6gw	11,072.19	osmo1ghfnm8fe0e6tzp50940qsxkzqsdeqpv43yg3eq	35,829.00	46,901.19
juno1azcypkusuwxreqf8zxaztyp05ww0y2hsma8dll	10,258.00	osmo1azcypkusuwxreqf8zxaztyp05ww0y2hs95hxw3	35,548.00	45,806.00
juno1pfhmse3detzwv8qyey6gc9m3rqzpnsvp3tkav9	23,843.74	osmo1pfhmse3detzwv8qyey6gc9m3rqzpnsvp0zxkat	21,597.00	45,440.74
juno1q5fs0dc90zyaj263lxm2a84zcq3lsymht6fymk	14,088.28	osmo1q5fs0dc90zyaj263lxm2a84zcq3lsymh4ne02c	29,264.00	43,352.28
juno1e43yev83psnqe4w8s22770het7uhfsdc30x3pn	42,555.51	osmo1e43yev83psnqe4w8s22770het7uhfsdc0xk6sa	7.00	42,562.51
juno1e9xd5eggd4l9xynap0mjep3s2uwwxwsyy3szhq	42,240.00			42,240.00
juno1a227yjgpvlqxhtvsx2c90kqt3qu788x2x90fxc	39,600.00			39,600.00
juno1gz8vgplztfvewdf2kj6m3m4g0mulqlq289r7jt	39,400.41			39,400.41
juno13mjwl63xfwvr5wlzwkal3dczl8ush6a9ny29v9	0.00	osmo13mjwl63xfwvr5wlzwkal3dczl8ush6a9dd6wat	38,532.00	38,532.00
juno1dzyjfr2lsr5ex0l32sgu6u9mp2wl4hqcxrglgp	36,437.56	osmo1dzyjfr2lsr5ex0l32sgu6u9mp2wl4hqcc2c5e0	1,572.00	38,009.56
juno1yad4khtgn79s7dcdm7lupadlhvhgrwp3wyxghc	36,960.00			36,960.00
juno1mk2yasfjljrvrxrjwj5823xh6lctkjc9aw7p56	36,171.89	osmo1mk2yasfjljrvrxrjwj5823xh6lctkjc9r8w295	527.00	36,698.89
juno1hz8ptg2ksmyghltzy05gs075v25y5324vqufcd	30,654.61	osmo1hz8ptg2ksmyghltzy05gs075v25y5324jfvzfr	5,968.00	36,622.61
juno16cmu5jru4znwf9fkyux5mr9ry003wpsdhyqxzs	36,002.00	osmo16cmu5jru4znwf9fkyux5mr9ry003wpsdfdsdn7	618.00	36,620.00
juno1k6wue2euufg5eelep8ju2fz9ytu2yyscralvfy	36,263.66			36,263.66
juno1rt8e2rx3fzpp0cz3x9q3kyl955qnq0yj53k8uf	0.00	osmo1rt8e2rx3fzpp0cz3x9q3kyl955qnq0yj2cxvd8	35,511.00	35,511.00
juno18fccqhr3agtd5q8r0r24fe8x6x4lks9c56wcgh	17,331.00	osmo18fccqhr3agtd5q8r0r24fe8x6x4lks9c2n7nee	18,140.00	35,471.00
juno1gd8pd5f8tz4xvk07jwv7re522ur9qqkjwsdqnp	0.00	osmo1gd8pd5f8tz4xvk07jwv7re522ur9qqkjseatz0	35,182.00	35,182.00
juno1rgslmed760ykjd3vu3y5xa447fmkdk6hckkwsh	32,461.80	osmo1rgslmed760ykjd3vu3y5xa447fmkdk6hxlx9pe	2,204.00	34,665.80
juno15uzn5p2ekqpmavvwdl9ttk2etstc4uht6cpf5c	14,691.00	osmo15uzn5p2ekqpmavvwdl9ttk2etstc4uhty33z9k	19,635.00	34,326.00
juno1hvme7g73agncdn6jgxl2dftw9m6aqeatu0rq0m	10,600.00	osmo1hvme7g73agncdn6jgxl2dftw9m6aqeatzxnt74	23,366.00	33,966.00
juno1zt85pwyw7pw68mdstjvkcuuswz7tm6kglfw5jp	2,151.00	osmo1zt85pwyw7pw68mdstjvkcuuswz7tm6kgpq7lr0	31,702.00	33,853.00
juno1vz73yxk594xlxeveu7muafzkynejjcgr06tftt	33,696.00			33,696.00
juno1f4j6vh3qrflhr3x4p003e7gngcy2wufesgfe0r	33,403.27			33,403.27
juno10rsucstwquhrwfcmdu39uq6327zxegc495r7u5	31,852.96			31,852.96
juno1rkhzx3q59nzmrjrj3lhpazfxaxvm9uxlns70f6	31,680.00			31,680.00
juno1f4hmea7xdje20zcqtsrll2kzkgrwcmyu4w76pr	31,487.00			31,487.00
juno1z7w0x22dj48h66her49mcrjaf9wuu3h72ugp89	0.00	osmo1z7w0x22dj48h66her49mcrjaf9wuu3h754c2kt	30,983.00	30,983.00
juno1hw0ufdhmgdfdxr32evzk2z40lzll2me92q9ccf	30,579.14			30,579.14
juno1a24ne7jwrfgmedaavrg4zw0g0k94n4anj7w94e	30,314.00			30,314.00
juno1yft5uvlg9hs4302uv5t5hvft6fm8xmdadm3zdd	30,000.00			30,000.00
juno107r0ylq95jdantsxr2v376s3mu0ufh6g2q8yrs	27,332.00	osmo107r0ylq95jdantsxr2v376s3mu0ufh6g5fh0j7	2,267.00	29,599.00
juno13zvrzx4jllv7vyc3e4nfq02qlxjy0z60ffwwap	521.87	osmo13zvrzx4jllv7vyc3e4nfq02qlxjy0z60hq79v0	28,612.00	29,133.87
juno1shkrc8l460v9542rvufqshafzywzsaaqpawqun	29,050.22			29,050.22
juno1qyt99shyjdp6ewyvhyknq6rzqkpkv7heqkujq8	29,040.00			29,040.00
juno1slc9fgnhtw0m2t5mc6tf8a494l274jza7w6hm4	29,040.00			29,040.00
juno14y4jh43q7gd4f9sdx3zchkhky9wex3ytktk7v8	0.00	osmo14y4jh43q7gd4f9sdx3zchkhky9wex3ytgzx4af	27,895.00	27,895.00
juno16gt5xq5g8qwltux3l409x4ezpqmedgm0zfyshg	11,933.85	osmo16gt5xq5g8qwltux3l409x4ezpqmedgm0uq5mxx	15,643.00	27,576.85
juno1yera5r8ancdhedeyqcumjwgpxe53au95t6un8l	27,380.97			27,380.97
juno13mgzsdpr3dhgp2yssrp4tc6s2gmxdh9m2jmsyx	50.00	osmo13mgzsdpr3dhgp2yssrp4tc6s2gmxdh9m5mtm4g	27,101.00	27,151.00
juno1cvycvz5p48za55g8gk65zlk37ky8u0hgywmmqd	27,067.91			27,067.91
juno14ka4cvhy2vjyhl5gm2fftesvkdsyke8pp2e9qg	10,100.00	osmo14ka4cvhy2vjyhl5gm2fftesvkdsyke8plrfw3x	16,729.00	26,829.00
juno14qae7h3ywfzwfw652svt7x3ghl6ku5zvrnjwwu	1,854.00	osmo14qae7h3ywfzwfw652svt7x3ghl6ku5zva6z9lj	24,883.00	26,737.00
juno1t2t8uc9cktykl9hq39ue40pjhjx99qc4wccn8h	26,482.00			26,482.00
juno124alkk4k8vgah0tmm4sgwu2zwp9rjpf9qc58gz	26,400.00			26,400.00
juno1eymapsam3l5ymas76avez0adlvw3u293xzlfpf	15,029.81	osmo1eymapsam3l5ymas76avez0adlvw3u293ct0zs8	11,260.00	26,289.81
juno13m7eqx55zldnu72vyal828vzrypz2chvc2x3es	13,923.53	osmo13m7eqx55zldnu72vyal828vzrypz2chvxrk6g7	11,924.00	25,847.53
juno14xmx7ca35kd783zrz009rpkxv4wmw0er7835d8	25,635.52			25,635.52
juno169se4awcc40mgfwnxt6k0rjkgzv9m9y0m63jug	0.00	osmo169se4awcc40mgfwnxt6k0rjkgzv9m9y09npedx	25,399.00	25,399.00
juno1py8zlkp8upmjuwrpnvhfugaze8afqn93x7hygq	0.00	osmo1py8zlkp8upmjuwrpnvhfugaze8afqn93ch80ew	25,384.00	25,384.00
juno19arx8wzy4pwdtf7tc8tk349ham5lemgxs2rewt	14,691.00	osmo19arx8wzy4pwdtf7tc8tk349ham5lemgxwrnjl9	10,542.00	25,233.00
juno1f0kcpeuys5mhdcpq87xmgh4vny8vwkl0t6tk2m	0.00	osmo1f0kcpeuys5mhdcpq87xmgh4vny8vwkl04nmam4	24,654.00	24,654.00
juno1l22dc2vjgrgwl73ef6rl6zp3uwr007fte3y8v4	23,975.87	osmo1l22dc2vjgrgwl73ef6rl6zp3uwr007ft8c5vam	639.00	24,614.87
juno14yqr2q5u4sehadtfxx4rh4rjxzfht6ecjjuypm	23,484.24	osmo14yqr2q5u4sehadtfxx4rh4rjxzfht6ecvmv0s4	824.00	24,308.24
juno1m59erx7maw2m4w5988kcyvau7m8fknsaf0qtt8	14,908.42	osmo1m59erx7maw2m4w5988kcyvau7m8fknsahxsq6f	9,326.00	24,234.42
juno1wsuvf5rt4ftr40axdq4m8dkwdtnefqfpmjmlcl	24,117.21			24,117.21
juno1ftwv988xjrca6c80newruq2y306fd2wy0r9htd	0.00	osmo1ftwv988xjrca6c80newruq2y306fd2wy324u6r	23,969.00	23,969.00
juno163cwepl644wch8usuxxw985qd7we3k54635zm6	23,760.00			23,760.00
juno1puqplfy7kt28nveyrtexetsatwwf9r06sqgw3w	23,760.00			23,760.00
juno1ts92tkwx80p2fz4yvnt5faa8l93v8pjdc3ntnw	23,715.00			23,715.00
juno17c9ywfjw8tjss76w7epfpeu59afa8egllhvshs	23,661.00			23,661.00
juno10g3hzsme335q8r2g3p4y3x7s2pv587fw9gtm8s	23,644.16			23,644.16
juno169x2hzney4vj3egxy72ar7vh2k769sv02g27a8	10,265.73	osmo169x2hzney4vj3egxy72ar7vh2k769sv05p64vf	13,307.00	23,572.73
juno1j7as6nn79jjaj8wtr6wx9mxta9wsk9qp7yurc4	23,420.00			23,420.00
juno1vdduurmgvzfvlerg6hcnh6afdc4jqn4gmlxx7y	23,212.47			23,212.47
juno1wpfj6kq7gakfaxz2yqxy8a35qpcayjksqyrtv8	23,015.65			23,015.65
juno15w7lqutzvr3pj0fr3t00gw4cjd6dk9r0hedaht	21,091.61	osmo15w7lqutzvr3pj0fr3t00gw4cjd6dk9r0fsakx9	1,899.00	22,990.61
juno1ze2wd8qvlfazj2yjmuk4474688hf9fcmfy7xfh	11,454.90	osmo1ze2wd8qvlfazj2yjmuk4474688hf9fcmhdwdce	11,454.00	22,908.90
juno1v3h4mc6pessfrag2vy5rq8zhatsg9ep3vlsd8e	22,884.33			22,884.33
juno1ct5jdjxwcs2whefy4c4dpuc0t3vuv7ksk25jpp	10,433.82	osmo1ct5jdjxwcs2whefy4c4dpuc0t3vuv7ksgryes0	12,447.00	22,880.82
juno19hjq22c3u7a7d89yz7g8msmndxskzgfn4en4e8	22,830.14			22,830.14
juno1avvm2e3tq9dk0s68fzjqmfg42tp6l7zn040ezm	10,102.59	osmo1avvm2e3tq9dk0s68fzjqmfg42tp6l7zn3uljn4	12,134.00	22,236.59
juno1qu2swdvmt88h3udpkt4m6wmce6n3q76umr6u62	22,181.67			22,181.67
juno16sw3enjmxnfwuz46tfz9zfu8vh4kjay5msm62v	0.00	osmo16sw3enjmxnfwuz46tfz9zfu8vh4kjay59et3mz	22,124.00	22,124.00
juno195z08s2qj0em8pzyyaqm5l29p0w9vrdejkwnu9	21,580.21			21,580.21
juno17e0m33ts0ph9s84fw7gsdt0lgfursu5gwwhgfg	0.00	osmo17e0m33ts0ph9s84fw7gsdt0lgfursu5gs88rcx	21,505.00	21,505.00
juno1pvulmnqglzywnhfx8u3rrvz48mz3q47ut7s2rl	21,490.93			21,490.93
juno1ad39dtr7gychn53czndxs8lqkmqqfzfa9nj8d0	10,855.09	osmo1ad39dtr7gychn53czndxs8lqkmqqfzfam6zvup	10,596.00	21,451.09
juno1w8d8zfyjx53plf32k3wwt928asvudrf3v5ey5v	0.00	osmo1w8d8zfyjx53plf32k3wwt928asvudrf3jaf09z	21,443.00	21,443.00
juno1rz6ackm5p23evrw90el8j5376m625hdmtdykt8	21,377.04			21,377.04
juno1w6dpa2l2fc3v2rc9dpuhqg4lt6ykvlqgka4uda	10,405.81	osmo1w6dpa2l2fc3v2rc9dpuhqg4lt6ykvlqgg59hun	10,969.00	21,374.81
juno16u40662xkkalag94vym7gdrj09rf05jndue4ke	21,120.00			21,120.00
juno16hvcvhuw5q5jxc6asm8t3h3ltcwgshr5ca2fy4	21,070.69			21,070.69
juno156724whmwqua9dxwy57dvdw2a3lh3g8y0d3vye	21,000.00			21,000.00
juno1gctysa67efud575ch9yg5r3eufd5s0ghweflf2	709.65	osmo1gctysa67efud575ch9yg5r3eufd5s0ghsse5cy	20,257.00	20,966.65
juno1l0r6vucw0yfsdqw2pv6hzwky2hzhwrddmfl2ye	12,306.66	osmo1l0r6vucw0yfsdqw2pv6hzwky2hzhwrdd9q0p4h	8,448.00	20,754.66
juno1qe70wsxl5vp7ddl4hfxd64zfmgv95hv5dzusj8	20,724.31			20,724.31
juno1efmj8yyj08uae56aks2f6k5ad4hfkf7ux6c9p6	20,723.00			20,723.00
juno1xusmwr85xvl7vezpmv8gsm97svyfzczf087rk7	0.00	osmo1xusmwr85xvl7vezpmv8gsm97svyfzczf3wwg8s	20,602.00	20,602.00
juno1seglwaum8ygeyv04r9l6kgssr2ewumzxta8qru	11,864.00	osmo1seglwaum8ygeyv04r9l6kgssr2ewumzx45htjj	8,650.00	20,514.00
juno1v5740e4eseyy2ssp0vc44nrr202e7pg6vgjln8	10,101.13	osmo1v5740e4eseyy2ssp0vc44nrr202e7pg6jpz5zf	10,347.00	20,448.13
juno1q85k7an4hwkwhfjcxtkkn6at5p07cgmcwujzn5	20,217.29	osmo1q85k7an4hwkwhfjcxtkkn6at5p07cgmcs4zfz6	228.00	20,445.29
juno1e0fafwjn3qp4s8g5zd6k8nz84tj9w6x8av40j8	17,529.68	osmo1e0fafwjn3qp4s8g5zd6k8nz84tj9w6x8r99yrf	2,871.00	20,400.68
juno1nuw2f6hlp99ck3u6k4mrc3hy7npvw0g0rdurhh	10,100.00	osmo1nuw2f6hlp99ck3u6k4mrc3hy7npvw0g0ayvgxe	10,166.00	20,266.00
juno1z4quax3k5hlj4xt7wkdkqp5l4hpgn89ykv28u9	15,754.06	osmo1z4quax3k5hlj4xt7wkdkqp5l4hpgn89yg96vdt	4,505.00	20,259.06
juno156kuw4y732m923cm7ufq598kkz8tpagy80jedr	0.00	osmo156kuw4y732m923cm7ufq598kkz8tpagyexzjud	20,201.00	20,201.00
juno1akkdutqp92ae9njq3j6v7nzdge3au4ld0dc6ym	10,020.00	osmo1akkdutqp92ae9njq3j6v7nzdge3au4ld3yg344	10,100.00	20,120.00
juno15yvjrun47xzpupmprua2ynmpjdxm3smee0yqc9	10,100.00	osmo15yvjrun47xzpupmprua2ynmpjdxm3sme8x5tft	10,001.00	20,101.00
juno1y5k3mj7mqqzfxtz6933quaq7nxs0hrcmy7s6y3	16,053.28	osmo1y5k3mj7mqqzfxtz6933quaq7nxs0hrcm6hq34l	4,031.00	20,084.28
juno1jvm8gy4lgzcrsagxpyhvvxymz982y3j59guuuw	20,006.27	osmo1jvm8gy4lgzcrsagxpyhvvxymz982y3j5mpvhdq	47.00	20,053.27
juno1kpa4pkgjcpvjqfv3ptyec52hpumfmytvkau8ek	20,019.00			20,019.00
juno18ucesam4gdvuu37a5vhgwjnqzl5dfvd7kd6xm3	20,015.15			20,015.15
juno173q959a24s5lcmcdxw863ytxkyue4m7ml824jk	10,000.00	osmo173q959a24s5lcmcdxw863ytxkyue4m7mpw67rc	10,000.00	20,000.00
juno1zm8epp3rul4lsu47szwmjcuxxa5xekgf4x680m	4,573.33	osmo1zm8epp3rul4lsu47szwmjcuxxa5xekgft02v74	15,298.00	19,871.33
juno1gnz3pxs5p2t7ealtwy4ehjstdv0sr09mc2gdwm	10,010.00	osmo1gnz3pxs5p2t7ealtwy4ehjstdv0sr09mxrcxl4	9,830.00	19,840.00
juno14yv8mex3zlpy5u44fz6x6wgq76mexg309xf2ka	19,565.55	osmo14yv8mex3zlpy5u44fz6x6wgq76mexg30m0ep8n	269.00	19,834.55
juno1pkkvtshz9apsmkzxp6s8q844c6vqxzmenn93rt	54.06	osmo1pkkvtshz9apsmkzxp6s8q844c6vqxzmed646j9	19,698.00	19,752.06
juno1g4hy5fwrtc6aee6juq87kg0k5ezwfqs9qfsthj	10,000.00	osmo1g4hy5fwrtc6aee6juq87kg0k5ezwfqs97qqqxu	9,709.00	19,709.00
juno1uz07k6e0txmv3agfczp4yqm7zsl32fkw4qahxz	19,608.53	osmo1uz07k6e0txmv3agfczp4yqm7zsl32fkwtfduhv	56.00	19,664.53
juno1v32s9rhwytaf7g4fhwukssu0ppzq6gey526s3g	0.00	osmo1v32s9rhwytaf7g4fhwukssu0ppzq6gey2r2mqx	19,544.00	19,544.00
juno1cnzcqss00dv09kpwqmuxkqssevr7u77jveza2k	19,482.00			19,482.00
juno1j24l07l9kjnzucgj20wjwxpq6xdumywve2mxpm	19,482.00			19,482.00
juno1nwqq6jxcw8kcvk6deqesaslpatgzfdql08eww3	19,482.00			19,482.00
juno1rgrda50pc3xuj9sn5uqppr0v0ec84dl97edmz3	19,482.00			19,482.00
juno1sv94kscrse7dxztfls3l6s2gl8ggafpgfskdaz	19,482.00			19,482.00
juno1360878zq3qxhh9eunw4ua7udmvx47kvskryqt5	19,481.33			19,481.33
juno1696qscgzpma5jr69un5ddd3s3c5028u9kstt6r	19,481.33			19,481.33
juno170mnvq98tc6a46sckduss3qeu8n9683k0hdj63	19,481.33			19,481.33
juno17xsk7cma5dg54q2lxdcasvgnhxknyfrl3j0rmq	19,481.33			19,481.33
juno18c0grhdx96lw2u5t9qchl390n5weu9znnqkv2r	19,481.33			19,481.33
juno1ddd02q05hfpe66ade0rvgn2scq94tdvcmf57s8	19,481.33			19,481.33
juno1p8ktdc6st0tcd0rqx6eu32xpcf7472sux7jqw4	19,481.33			19,481.33
juno1qwqe792ag6p0fg44nk3f2qcredn4lu695qr6h6	19,481.33			19,481.33
juno1svfxve6escddnw0xzzf7yrv964hgsjrrhnxtsd	19,481.33			19,481.33
juno1trqlp27j27seeeux88tde7acal3k9vv88rv287	19,481.33			19,481.33
juno1vhckgkphxmv5vr6cr39p76wx3rxtnemjxgwgta	19,481.33			19,481.33
juno1vpzlwskzcvy60lasrwa5xepztfp95vsdcmceqv	19,481.33			19,481.33
juno1xak52rydav4k8ajtahllvn0qvg5l5u9xj4pdpa	19,481.33			19,481.33
juno1xnpytds00wsyy863lxtxfcsaet2jkzvs4z9uft	19,481.33			19,481.33
juno1xwm26sgjh66hjsq8c9py6wucl5re6mdzdj5hj3	19,481.33			19,481.33
juno1l0f2ckdsx07jnxcy3ucq5x3fw6ttnrgjaqsa3u	19,000.00	osmo1l0f2ckdsx07jnxcy3ucq5x3fw6ttnrgjrfqkqj	481.00	19,481.00
juno13h5rflg27nn99emf7ecapjf6wr67mgqcgpkev3	19,410.28	osmo13h5rflg27nn99emf7ecapjf6wr67mgqckgxjal	49.00	19,459.28
juno1kv6uc92k3jtkkt63f43az655qtpgphsdcxc0pl	2,150.33	osmo1kv6uc92k3jtkkt63f43az655qtpgphsdx0gys3	17,292.00	19,442.33
