address, amount staked, GKEY
tori1d25htcn42sg9vyw3zkqapfprsps7dshmu735qg, 450, XXX
tori1smk9ckvx8p0af7xrrzmvychngpyqrz7gny65j3, 1249, XXX
tori1nvn4sfc3r2d69c7v0j9v7ak87xepz9q50j799d, 700, XXX
tori1sec8pmhv2zs5rmzvtl28fk8m0f99flhcxhrnhs, 252, XXX
tori1rdpw2udyqxldh0p6vmvv5hd0x6vpt5km3dkg4k, 555, XXX
tori150lh086nkz64a0hz0mdqyj4stcgvylszqlvsp7, 574, XXX
tori1hruemq3recacnk4k2pfj6vpuqay4awek23xp33, 319, XXX
tori1ywr2thr2g8ray5marc4dd3j9w5plg7sq88qjmj, 1007, XXX
tori15w7lqutzvr3pj0fr3t00gw4cjd6dk9r0rle0t8, 294, XXX
tori1tady5gfzzwlzcjkmn8suzxp0uxf54vvxz9zr4s, 1006, XXX
tori1vjmc7sjhjx2crn8gq8tpnjp9xfzmj77gxn5hdh, 621, XXX
tori1ge8xce4ucj6dkrzwv78m4efty22mzwv74m3zyz, 328, XXX
tori15y2jy3uatqlavdmjkfr779dydgjqk43a8pk8a0, 250, XXX
tori1gve4gje946ln6u7748sw36vgj7twfkmvfzdq75, 295, XXX
tori173q959a24s5lcmcdxw863ytxkyue4m7mtp78w6, 344, XXX
tori1lhxqzc7n0hxmzetxepgls5kqunryex7lry37xj, 563, XXX
tori1reu3yxedq2wvcw8cv5q6th4wxc9fs8ade7ukaz, 510, XXX
tori1f8w9duslevxu5qgnldpcy6nv6ke8suq22l48cf, 336, XXX
tori1apydaumjstd52a68jy7hg4363tm3cah9p6rkjp, 850, XXX
tori1gdyupeqgntf40tnkz47yvm7atjqr5cp2fc8npt, 576, XXX
tori1nnuacle8vl2czh6ylpr36nk7vk2sgdnkqg2azd, 289, XXX
tori14gcdn607t8duvv7mfxy5t4l0n8ghapcxn8yahg, 274, XXX
tori13m7eqx55zldnu72vyal828vzrypz2chvvvjr9u, 251, XXX
tori1s62zzaunhyy2htfm0mjpuyzvqccpe2hr3sh4ru, 407, XXX
tori1z642ut5elrthntddklukm79fhcvjctyea7fyvh, 914, XXX
tori15pwqxvf22r750lt3pgfda24trheakx72d7l332, 3439, XXX
tori1vyr25fpz2httevfz65mgcrj2kaurw55mvwmv2x, 494, XXX
tori1wgx6a3qlersv9dfw3tz6z4x8flez98p9eqxq0r, 281, XXX
tori1pkkvtshz9apsmkzxp6s8q844c6vqxzme843rl8, 614, XXX
tori1eqnnwt75ks8esz9zaqf92ldt5dqsm76aesw9yq, 268, XXX
tori1eqwzvqsa4rlcd6mcznksd7epx7e8te07wchfn8, 298, XXX
tori1x68h9mgxsnzq9ewfyp43e7shg3xmkl4v6xdn8g, 3049, XXX
