address, amount staked, GKEY
chihuahua1488kv08va80uyw3rqm03dxapmgak6mx4artamz, 527967, XXX
chihuahua1zs8k656xzml49uzlx8nex2l8ur2lfs97eppu46, 500000, XXX
chihuahua1nkwwh4t3xxzhp97ezjj9h3tyh4x93atpuyzjr6, 5000000, XXX
chihuahua10qznkpv7trh8z3fsm0m9rlu258tj44tmcdwkhq, 531502, XXX
chihuahua17vxf0y0x0gkhan33yhpeuxhyzd5069vntzfw3h, 503400, XXX
chihuahua1v2xh06d7jywnnrhu0shyfejn7uff7l4ng347sv, 1443584, XXX
chihuahua1k0thtn77p4sl9ad6fkxsn6ur3zawxlp7f3rerx, 501000, XXX
chihuahua1ghaamd2fv2zq95fa4hk000pfrqftzme0zfcezk, 531589, XXX
chihuahua1shmytvj3rsmyyajwyx6s08wclvsg3mly537ty9, 2169695, XXX
chihuahua1k278k46nsvnc9ahx0n94qwt9qul7vea69xygqc, 1065017, XXX
chihuahua1lewrntjs242rlcvxq6hagpxteh2g80864npacc, 500000, XXX
chihuahua1vrml8rkxcstrneqv208wmd9f3yd5uwkwnftrld, 549544, XXX
chihuahua13jys0uqpcgrl4fa4gkl4m5njfhn7wd4ldaxexd, 500000, XXX
chihuahua17lp0xs8aauzn6dcs606lk6mwtd894q0jgz6j2t, 526889, XXX
chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn, 11200000, XXX
chihuahua1tnyrxmdk6jtw8vqsq74z8t8y562mgcf7jqcyxh, 523990, XXX
chihuahua10rnsl4m6u5pd4fk9fndenmyyxcm5d9h98ehzfy, 599987, XXX
chihuahua1hsveqcu47fhay5y9u4ld7agqrlxfvm3pcj4uxy, 543323, XXX
chihuahua122v8uqnahjnv77z437z3wvtq8fl37ynerrsxq5, 531566, XXX
chihuahua193f29pj2n8zypqxnqryepakue5s0s4h36yljls, 500000, XXX
chihuahua18qs69kefuwr8zfvm4evgungzyv690snjuke20z, 500000, XXX
chihuahua1rw76mkr59cecdkqr5r4h56xvwuxjtf54yalgyk, 542834, XXX
chihuahua1ynf89385cylrzyg399sftk05e9nak6zkmntnqx, 531632, XXX
chihuahua1w92mjwqcjxt74nk9z26s2ax3a4jceyw5fyy7x5, 531564, XXX
chihuahua105rf9sxvzqrf8sce5rktffgd2t960uy0g0sc4d, 500001, XXX
chihuahua15h2v848ly2geene5hdckxfglvhajfxj648en2n, 531748, XXX
chihuahua1qwssmxh9y6vpenpqvf637rqg20gxwt3anjlzhd, 531710, XXX
chihuahua1rnw2a5f0qknyxqkzg3etjuytz66ng56uatyhmn, 531695, XXX
chihuahua1l4v88qrprva0sjzl862wa0tcas04ddqu6zusy0, 511824, XXX
chihuahua12lzvcacrthkmx33dkxfce9pffnuazz5el7jf9v, 659168, XXX
chihuahua16ppny2tg39epm4seukrumyyaxlfrgr5dlq9dlg, 531668, XXX
chihuahua132dwnd8j2aegsygfpn90g22pyvqnqnngg3nflg, 531519, XXX
chihuahua1t3qp52hf5p4julm52ftssqxdhpvyh9c03kuwwy, 501600, XXX
chihuahua1k0nf3fu5xv7uh4uenr2r8jg5s90ucg68l58gex, 500000, XXX
chihuahua1uu9q0lcjrse7en59x5m88c94ef070sh8pla4ct, 509220, XXX
chihuahua1qdm6all9tpwld7nkpqdxrvv7d53wsf0j9py8xg, 531713, XXX
chihuahua1lyhqyeenfsa4fqwfq694ez6wn2khm9nswpnn62, 1000000, XXX
chihuahua1q3faa036uwzrpz8mrv8e35e5fgj7r77k7r47an, 2000982, XXX
chihuahua1tqyfpttjydt4lf4qnvwtd6wzfv5zq40s744kqr, 1174015, XXX
chihuahua1yfqu3r6d26n8jckgtrauw9gtyt35s90xjqae2c, 556191, XXX
chihuahua1u548v62mr0yf34xnsryu3pp27q6zn47lluerdk, 531610, XXX
chihuahua18fl5chxs3fva0p9cgqg0dyxgplx8k32qsvfah5, 500000, XXX
chihuahua1vfpv9ed33rkc82al99mcw5seuk4v5ua46x09w3, 531582, XXX
chihuahua195z08s2qj0em8pzyyaqm5l29p0w9vrde83qx6m, 10000000, XXX
chihuahua1jvm8gy4lgzcrsagxpyhvvxymz982y3j5s0jf6s, 511254, XXX
chihuahua1a83n4zhsyf7w52xrsjajp5ta0rng3tgks535r7, 500579, XXX
chihuahua1zz3szjjkgg4ewdjv74znzvqwhc4w2gn5y6rpa5, 531701, XXX
chihuahua1pqawqj4pr5tw38w4d45t47ce2vj09u5qncred9, 725556, XXX
chihuahua1nxeajyyhs7avsd89c4jh39hvragdkys2k25699, 531570, XXX
chihuahua1je9h09ll9aqrh8345makhsnk7fa2n96e5n4sw5, 500000, XXX
chihuahua1rsdq2dwgfhqn3e242l55e86gj7x8yyaj90vwc7, 500000, XXX
chihuahua16xjxyaaxjmypzeapxq3grt34djgq08hhmdsmqp, 500000, XXX
chihuahua150lh086nkz64a0hz0mdqyj4stcgvylszp7khmv, 531551, XXX
chihuahua1ksv4e2l7t6wfgasvg09cm4yan9my49t9eyh7xk, 531649, XXX
chihuahua1tv3px5jagutsc0xycj4zajv0zey7rar2q5dmg8, 500000, XXX
chihuahua1gmhzke988e24gqrx3vmnq50eaaadrat96wfqyt, 531575, XXX
chihuahua1czxk68p0pkyxlrgvn09neh7k4an2hvpn47w4kq, 2000000, XXX
chihuahua1um5zzzmz5yhwpv4vccl0hjrquzjefyy42lyv5u, 1495865, XXX
chihuahua1gcpzml6ywr4zyvw57lvjjmz6esj75gyewazq98, 531598, XXX
chihuahua1p6hqx49hpcdmexr7yydxnrx36gnr9fv57k9hj3, 531693, XXX
