address, amount staked, GKEY
kujira16q9tcfak9d5tkqxvlkj9prcq3hwazkvc6dxedv, 101, XXX
kujira1vhj4mmtkjke60vvcvuylg4vduhqgc8y4qpakhl, 2, XXX
kujira1mjrvpseqqj98ep0xxpvxf7vrw7a6weg5ej5fqg, 99, XXX
kujira17ju0nlvd03usl98frpetyxs85jle6k07n626ge, 5, XXX
kujira1qpkx900d207r49xwu3jltq3u2ad57fprpdxdtk, 1, XXX
kujira1m4v7zwadpadahzqfszz3kflg55f7ap2lrrnezz, 3, XXX
kujira1pcsaq68d70ycvdxxv3tdl6uvamhkg9nv90vg0t, 100, XXX
kujira1zspr6va4ev78lpsh48s57nv6szxj4cdywt2kkg, 22198, XXX
kujira1ywqvj9dhxzm3hjmtnwznqexhw4neg2jnuu9m3w, 275, XXX
kujira1m5vlltswjvwg9sxsv2rj52nqnwl2w9ft9ytqwx, 1, XXX
kujira1p3ulywc9ckcdyjyp03ex4gptasxg003d8hkn7t, 100, XXX
kujira1e6y0lmmyhtezfftq4fh2zm2emeesm9n3k6xaja, 9, XXX
kujira1rj0ynahrwgtnd5x4ffflzd2kzg6jshu6u3afkv, 62, XXX
kujira1xkuw6kqlc9hyj6a86dvvqctu6s0mu685xc05tq, 101, XXX
kujira1l4mlqwv62hjvxw3fjwk5xtulfar06crnhm9ut2, 1, XXX
kujira1839jrqs3yggjf7eyxjmxu8aeuu8qw74qq7l6ws, 1, XXX
kujira177mjwsvv9hsf6eg2xh400py8w8px54fxhjs3a2, 10, XXX
kujira15kx3xyccdvf3cc74h2x06zeltwdthfgasr922t, 2, XXX
kujira10ukmlx2fh4x53528x0wxzlzc02su6j74uwq37g, 24, XXX
kujira1g77audfs0zj9qk79qsux5zhqyrqswpwgy4ymuq, 14, XXX
kujira1xwu65mgv62wwvm9fn052l60km24yj6servhdzn, 4, XXX
kujira1vzqc64g9w4rak0cu34nwhxg6yeftkckz25fpte, 4, XXX
kujira197nrt26lht5k6805f5qfmj5r3mndwcsmj3azea, 1, XXX
kujira14qc4rmffuymfm0l6pzyzn6emw9g348ace55fal, 10, XXX
kujira1fvnmyse09rest7g3zv2dkcxy9asftf3qecxth9, 100, XXX
kujira1ce5h9rwgppv6xvx34yg5z3xwsqxgsmcke00kqv, 16, XXX
kujira180pd67vvtwxx48fjqg3kxv2ge6u02lhcddsdlu, 2, XXX
kujira1tly93sdsd5ngrwlycy3g9muc94lxgy266gzssd, 2, XXX
kujira1uwenqayqm823g33nxnzguhtytq8erc48r5t5y5, 146, XXX
kujira1myus022p847j0wpzfweqmp7xp7rzfnyy9luevl, 1, XXX
kujira1aukud43rdjdxh6lkvgtcnfq3wfra7jjmsmljsw, 1, XXX
kujira1v0vf5zrwj0acqtkqr9dxaz2jslvmvx96nkk6hq, 100, XXX
kujira1hgfumdhn3rfg6u0cytaadnmus0sxs57j5ywtfj, 16, XXX
kujira1g72q9dl7yqcl3lv3jqkrrrw8zayaan6hce7prn, 101, XXX
kujira1cezlaxp9adv7nm0ctrtnr3yml92rx2ua22ar29, 1, XXX
kujira1dhrlrte5c6uzcjvaxqen33xnv4x2k7q9psvu6n, 5, XXX
kujira1amlrs57zsfe8gngvp22jah5w6uhxx4urjse422, 105, XXX
kujira1kdze9r6y8jx9ljjxrn3lzslwcw8vpx7phwmdvv, 99, XXX
kujira1uxthxgqhmxaqlh5u6990j48x5y0u2udfu88tkv, 8, XXX
kujira1arxvf7xvveqh38qxqch59m8kqxccr3274gnnus, 46, XXX
kujira1zfgdutsfnwv0tnjnhuq76ltgmhhgjqj2aftm2d, 4, XXX
kujira1zz3fgakx8az5rvpkn0elme0eqsdmwzxc2vfuxh, 1, XXX
kujira1jx03zpuvulr30sqvnvt7c8r5j9ktcxzp0tnswc, 101, XXX
kujira19v9lrrm3te9tyknq9umlsu6hts9ccddyg899l5, 3, XXX
kujira13v8hz6phal55we5tpd4ksgpj3n9n2wzxjt8ynt, 29, XXX
kujira1fl0we9jrg7860hapcq97ndrxf8zskdxawax376, 153, XXX
kujira1xwszhh663ymaup824ufcr0d33v6jqznzskjevu, 29, XXX
kujira120eyg4xal4q2hc6c53edn8z9cdexshlhpqfzgc, 3, XXX
kujira1rdprmcrdezfe7sz3qp5geh4zd968vmzpkm6x7e, 77, XXX
kujira1mvzslz59x3cam4gm48vndrwya9jycljhx2zkfx, 18, XXX
kujira1rxgc5nxxmrt6svtklt6528gjt6w7mglhvpzqmv, 18, XXX
kujira1t3qp52hf5p4julm52ftssqxdhpvyh9c0rtnczv, 100, XXX
kujira19nl36qmc0rfl6dyxzgnhg2rsuf74vdpux98us7, 5, XXX
kujira1q5x63dwfq76cgqcry05rpmyf9ylr9jcqqmhmxv, 255, XXX
kujira1y7v7rvmehpy0n4wrg0r6e078yz56ykrrgwpkxv, 109, XXX
kujira1eyahp7v3e69gd64dc0hkfpa8hg3xqjhh25r0pl, 14, XXX
kujira1pyp3lwlg28zntcpwq87spsjm2sdng32qulmxse, 4, XXX
